cell_id,theory_id,theory,row_class,origin,domain_id,domain,prediction_id,code,polarity,relation,claim_text,source_label,source_doi,source_locus,evidence_status,confidence,provisional,legacy_code,first_coder_code_M4,superseded_by,flag_for_adjudication,legacy_justification,legacy_source_label,legacy_source_doi,note,coder,n_predictions,previous_code,previous_polarity,recode_note
FMxM1,FM,Feinberg & Mallatt,origin-level,submitted-v1,M1,number of simultaneously competing action policies,,NOT_LOCATED,,,"The threshold is the appearance of isomorphic maps, not arbitration load.",Feinberg & Mallatt 2013,10.3389/fpsyg.2013.00667,abstract (isomorphic neural maps as marker),full-text,2,False,NO,,,,"The threshold is the appearance of isomorphic neural maps of one body/world, not arbitration load.",Feinberg & Mallatt 2013,10.3389/fpsyg.2013.00667,,author1,1,,,
FMxM2,FM,Feinberg & Mallatt,origin-level,submitted-v1,M2,incompatibility of the competing policies,,NOT_LOCATED,,,No incompatibility term.,Feinberg & Mallatt 2013,10.3389/fpsyg.2013.00667,abstract,full-text,2,False,NO,,,,No incompatibility term.,Feinberg & Mallatt 2013,10.3389/fpsyg.2013.00667,,author1,1,,,
FMxM3,FM,Feinberg & Mallatt,origin-level,submitted-v1,M3,valence,P21,EXPLICIT,positive,constitution,Affective consciousness is treated as a distinct and possibly earlier kind than exteroceptive image-based consciousness.,"Feinberg & Mallatt 2013; Feinberg & Mallatt 2016 (The Ancient Origins of Consciousness, MIT Press)",10.3389/fpsyg.2013.00667; 10.7551/mitpress/10714.001.0001,"p. 8 (pain as a multidimensional experience based on somatosensory, affective and homeostatic processing; nociceptors ancient); Feinberg & Mallatt 2016 (book, not read) for the affective/interoceptive/exteroceptive tripartition",full-text,2,False,YES,,,,"Affective consciousness is treated as a distinct and possibly earlier kind than exteroceptive image-based consciousness, with nociceptive/valenced states as its content.",Feinberg & Mallatt 2013,10.3389/fpsyg.2013.00667,,author1,1,,,
FMxM5,FM,Feinberg & Mallatt,origin-level,submitted-v1,M5,organism-wide cortical–autonomic coherence,,INTERPRETED,positive,marker,Unified representation of one body is emphasised; no coherence measure proposed.,Feinberg & Mallatt 2013,10.3389/fpsyg.2013.00667,abstract (unified representation of one body/world),full-text,1,False,IMPLICIT,,,,Emphasises unified representation of one body but proposes no organism-wide coherence measure.,Feinberg & Mallatt 2013,10.3389/fpsyg.2013.00667,,author1,1,,,
FMxM6,FM,Feinberg & Mallatt,origin-level,submitted-v1,M6,dimensionality of phenomenal structure,,NOT_LOCATED,,,No dimensionality prediction.,Feinberg & Mallatt 2013,10.3389/fpsyg.2013.00667,whole text,full-text,2,False,NO,,,,No dimensionality prediction.,Feinberg & Mallatt 2013,10.3389/fpsyg.2013.00667,,author1,1,,,
FMxM7,FM,Feinberg & Mallatt,origin-level,submitted-v1,M7,metacognitive sensitivity,,NOT_LOCATED,,,No metacognitive-precision prediction.,Feinberg & Mallatt 2013,10.3389/fpsyg.2013.00667,whole text,full-text,2,False,NO,,,,No metacognitive-precision prediction.,Feinberg & Mallatt 2013,10.3389/fpsyg.2013.00667,,author1,1,,,
FMxM8,FM,Feinberg & Mallatt,origin-level,submitted-v1,M8,cortical signature of access,,INTERPRETED,positive,necessity,Neuroanatomical prerequisites are named rather than a human cortical access signature.,Feinberg & Mallatt 2013,10.3389/fpsyg.2013.00667,"abstract (minimum requirement: forebrain, midbrain, hindbrain with hierarchical isomorphic maps and reciprocal connectivity; cortex not necessary)",full-text,2,False,IMPLICIT,,,,"Names neuroanatomical prerequisites (hierarchical maps, reciprocal connectivity) rather than an access signature in humans.",Feinberg & Mallatt 2013,10.3389/fpsyg.2013.00667,,author1,1,,,
FMxM4a,FM,Feinberg & Mallatt,origin-level,added-in-revision,M4a,access to interoceptive content as content,P26,EXPLICIT,positive,constitution,Interoceptive/nociceptive channels are constitutive of affective consciousness.,"Feinberg & Mallatt 2013; Feinberg & Mallatt 2016 (The Ancient Origins of Consciousness, MIT Press)",10.3389/fpsyg.2013.00667; 10.7551/mitpress/10714.001.0001,"p. 8 and p. 10 (interoceptive aspects of pain, insula); tripartite scheme (exteroceptive/interoceptive/affective consciousness) in Feinberg & Mallatt 2016 (book, not read in this pass)",full-text,2,True,,YES,,"The 2013 text as read supports interoceptive aspects of pain as conscious content; the explicit interoceptive-consciousness category is in the 2016 book, which could not be read - evidence for the EXPLICIT code is secondary for that part.",,,,,author1,1,,,
FMxM4b,FM,Feinberg & Mallatt,origin-level,added-in-revision,M4b,visceral modulation of access to exteroceptive content,,NOT_LOCATED,,,No statement located on visceral modulation of access to exteroceptive content.,Feinberg & Mallatt 2013,10.3389/fpsyg.2013.00667,no statement located,full-text,2,True,,NO,,,,,,,author1,1,,,
FMxM4c,FM,Feinberg & Mallatt,origin-level,added-in-revision,M4c,conscious involvement in purely autonomic conflict,,NOT_LOCATED,,,,"Feinberg & Mallatt 2013; Feinberg & Mallatt 2016 (The Ancient Origins of Consciousness, MIT Press)",10.3389/fpsyg.2013.00667; 10.7551/mitpress/10714.001.0001,"Feinberg & Mallatt 2013, Objections to the Hypothesis, Challenge 3, p. 17 (visceral-sensory paths not consciously perceived); no passage on conflict or autonomic effectors anywhere in pp. 1-19",full-text,2,True,,IMPLICIT,,Polarity uncertain: the only located 2013 passage on visceral pathways (p. 17) points towards a null for low-level visceral signals; the positive reading depends on the 2016 book (not read).,,,,,author1,1,INTERPRETED,positive,"24 Sep 2026, first coder after full-text reading: Codebook §2 M4c: coding requires the source to define conflict and to exclude skeletomotor involvement; if it does neither, code NOT_LOCATED. The 2013 article does neither, so INTERPRETED positive (mechanism 'would produce a feeling here') is not supported by a located passage; the homeostatic-affec Sections searched: Feinberg & Mallatt 2013 full text pp. 1-19 (all sections) for conflict, compet*, decision, choice, reflex*, autonomic, smooth muscle, gland*, vagus, sympathetic, homeostas*, viscer*, interocept*. 'Con"
GNWTxM1,GNWT,GNWT,trial-level,submitted-v1,M1,number of simultaneously competing action policies,,NOT_LOCATED,,,No statement located relating access to the number of competing policies.,Mashour et al. 2020,10.1016/j.neuron.2020.01.026,abstract (ignition of a single amplified representation),abstract-only,2,False,NO,,,,"Ignition is triggered by a single winning representation crossing threshold; the theory quantifies stimulus strength and attention, not the cardinality of the competing set. No published GNWT prediction indexes access to how many policies compete.",Mashour et al. 2020,10.1016/j.neuron.2020.01.026,,author1,1,,,
GNWTxM2,GNWT,GNWT,trial-level,submitted-v1,M2,incompatibility of the competing policies,,NOT_LOCATED,,,No statement located relating access to the degree of policy incompatibility.,Dehaene et al. 2006,10.1016/j.tics.2006.03.007,abstract (taxonomy over stimulus strength and attention),abstract-only,2,False,NO,,,,"Competition for the workspace is assumed but its degree is not a predictor variable; predictions are stated over visibility/threshold, not over conflict magnitude.",Dehaene et al. 2006,10.1016/j.tics.2006.03.007,,author1,1,,,
GNWTxM3,GNWT,GNWT,trial-level,submitted-v1,M3,valence,,INTERPRETED,stated_null,effect,Valence can be workspace content but is not stated to shift the access threshold; a null over valence follows from content-neutral broadcast.,Mashour et al. 2020,10.1016/j.neuron.2020.01.026,abstract (content-neutral broadcast),abstract-only,2,False,IMPLICIT,,,,Broadcast is content-neutral by construction: any representation that wins gains global availability. Valence can be a workspace content but is not predicted to shift access thresholds.,Mashour et al. 2020,10.1016/j.neuron.2020.01.026,polarity 'null' restored from claim_text during integration (was blank),author1,1,,,
GNWTxM5,GNWT,GNWT,trial-level,submitted-v1,M5,organism-wide cortical–autonomic coherence,,INTERPRETED,positive,marker,Global availability is organism-wide in spirit; a coherence prediction is constructible but no joint cortical-autonomic metric is stated.,Dehaene et al. 2006,10.1016/j.tics.2006.03.007,abstract (global availability); operationalisation is cortical ignition/P3b,abstract-only,1,False,IMPLICIT,,,,"""Global availability"" is organism-wide in spirit, but the operationalisation is cortical ignition and P3b; no joint cortical-autonomic metric is specified.",Dehaene et al. 2006,10.1016/j.tics.2006.03.007,,author1,1,,,
GNWTxM6,GNWT,GNWT,trial-level,submitted-v1,M6,dimensionality of phenomenal structure,,NOT_LOCATED,,,No prediction about the dimensionality of experienced content; the theory predicts presence/absence of access.,Mashour et al. 2020,10.1016/j.neuron.2020.01.026,abstract,abstract-only,2,False,NO,,,,No prediction about the dimensionality of experienced content; the theory predicts presence/absence of access.,Mashour et al. 2020,10.1016/j.neuron.2020.01.026,,author1,1,,,
GNWTxM7,GNWT,GNWT,trial-level,submitted-v1,M7,metacognitive sensitivity,,INTERPRETED,positive,necessity,Metacognition is argued to be a needed addition to the workspace; not a quantity the theory itself predicts over.,Shea & Frith 2019,10.1016/j.tics.2019.04.007,abstract (broadcast representations must include a metacognitive component),abstract-only,2,False,IMPLICIT,,,,Metacognition is argued to be a needed addition to the workspace rather than a quantity the theory itself predicts.,Shea & Frith 2019,10.1016/j.tics.2019.04.007,,author1,1,,,
GNWTxM8,GNWT,GNWT,trial-level,submitted-v1,M8,cortical signature of access,P01;P02;P03;P30,EXPLICIT,positive,marker,"Late non-linear ignition of a prefrontal-parietal network at stimulus onset (and offset), PFC decodability of conscious content, PFC-posterior synchrony; offset ignition and some PFC decoding challenged in Cogitate 2025.",Melloni et al. 2023 (Cogitate protocol); Cogitate Consortium et al. 2025,10.1371/journal.pone.0268577; 10.1038/s41586-025-08888-1,"Melloni et al. 2023, ""Differential predictions of the theories"", predictions 1-5 (pp. 4-6) and analyses #1-#3 (pp. 11-13); Cogitate 2025 abstract and results",full-text,3,False,YES,,,,"Late (~250-400 ms) non-linear ignition of a fronto-parietal network, P3b, sustained prefrontal activity; tested and partly falsified at stimulus offset by the adversarial collaboration.",Cogitate Consortium et al. 2025,10.1038/s41586-025-08888-1,,author1,4,,,
GNWTxM4a,GNWT,GNWT,trial-level,added-in-revision,M4a,access to interoceptive content as content,,NOT_LOCATED,,,No statement located on access to interoceptive content as content.,Mashour et al. 2020,10.1016/j.neuron.2020.01.026,no statement located,abstract-only,2,True,,NO,,,,,,,author1,1,,,
GNWTxM4b,GNWT,GNWT,trial-level,added-in-revision,M4b,visceral modulation of access to exteroceptive content,,NOT_LOCATED,,,No statement located on visceral modulation of access to exteroceptive content.,Mashour et al. 2020,10.1016/j.neuron.2020.01.026,no statement located,abstract-only,2,True,,NO,,,,,,,author1,1,,,
GNWTxM4c,GNWT,GNWT,trial-level,added-in-revision,M4c,conscious involvement in purely autonomic conflict,,NOT_LOCATED,,,No statement located on conscious involvement in purely autonomic conflict.,Mashour et al. 2020,10.1016/j.neuron.2020.01.026,no statement located,abstract-only,2,True,,NO,,,,,,,author1,1,,,
HOTxM1,HOT,Higher-order theory (HOT / HOROR),trial-level,submitted-v1,M1,number of simultaneously competing action policies,,NOT_LOCATED,,,No statement located relating awareness to the number of action policies.,Lau & Rosenthal 2011,10.1016/j.tics.2011.05.009,abstract,abstract-only,2,True,NO,,,,"Higher-order state space is defined over perceptual generative models, not over action policies.",Fleming 2020,10.1093/nc/niz020,,author1,1,,,
HOTxM2,HOT,Higher-order theory (HOT / HOROR),trial-level,submitted-v1,M2,incompatibility of the competing policies,,NOT_LOCATED,,,No conflict-magnitude term located.,Lau & Rosenthal 2011,10.1016/j.tics.2011.05.009,abstract,abstract-only,2,True,NO,,,,No conflict-magnitude term.,Fleming 2020,10.1093/nc/niz020,,author1,1,,,
HOTxM3,HOT,Higher-order theory (HOT / HOROR),trial-level,submitted-v1,M3,valence,,INTERPRETED,stated_null,effect,Emotional consciousness uses the same higher-order mechanism; no differential access for valenced content is predicted.,LeDoux & Brown 2017,10.1073/pnas.1619316114,abstract (emotional and non-emotional experiences arise from one cortical system; inputs differ),abstract-only,2,True,IMPLICIT,,,,"Higher-order theory has been extended to emotional consciousness, but the extension asserts a common higher-order mechanism rather than predicting differential access thresholds for valenced content.",LeDoux & Brown 2017,10.1073/pnas.1619316114,polarity 'null' restored from claim_text during integration (was blank),author1,1,,,
HOTxM5,HOT,Higher-order theory (HOT / HOROR),trial-level,submitted-v1,M5,organism-wide cortical–autonomic coherence,,NOT_LOCATED,,,No organism-wide coherence claim located.,Lau & Rosenthal 2011,10.1016/j.tics.2011.05.009,abstract,abstract-only,2,True,NO,,,,Awareness is local and prefrontal; no organism-wide coherence claim.,Fleming 2020,10.1093/nc/niz020,,author1,1,,,
HOTxM6,HOT,Higher-order theory (HOT / HOROR),trial-level,submitted-v1,M6,dimensionality of phenomenal structure,,NOT_LOCATED,,,No dimensionality statement located in the HOT sources.,"Lau & Rosenthal 2011; Brown, Lau & LeDoux 2019",10.1016/j.tics.2011.05.009; 10.1016/j.tics.2019.06.009,"abstract; Brown, Lau & LeDoux 2019 abstract",abstract-only,2,True,YES,,,Split cell: the legacy YES rests on Fleming 2020 (HOSS) only; no HOT source states a dimensionality claim. Entered NOT_LOCATED for HOT. | 24 Sep 2026: full text not reachable from the sandbox (publisher-closed); code rests on the abstract and is provisional until the PDF is read by the first coder.,HOSS makes the sharp claim that the awareness state is low-dimensional — a 1D continuum from absent to present — nested asymmetrically above a high-dimensional perceptual space.,Fleming 2020,10.1093/nc/niz020,,author1,1,,,
HOTxM7,HOT,Higher-order theory (HOT / HOROR),trial-level,submitted-v1,M7,metacognitive sensitivity,P11,EXPLICIT,positive,marker,"Metacognitive sensitivity (meta-d prime), dissociable from first-order performance, indexes the higher-order state; proponents do not equate consciousness with confidence.",Maniscalco & Lau 2012; Lau & Rosenthal 2011,10.1016/j.concog.2011.09.021; 10.1016/j.tics.2011.05.009,"Maniscalco & Lau 2012 abstract (meta-d prime as measure of metacognitive sensitivity); Lau & Rosenthal 2011 abstract (higher-order representations as the basis of awareness); Brown, Lau & LeDoux 2019 abstract (consciousness not equated with metacognition or confidence)",abstract-only,2,True,YES,,,,"Core measurable: metacognitive sensitivity/efficiency (meta-d prime), calibration of confidence, and its dissociation from first-order performance.",Maniscalco & Lau 2012,10.1016/j.concog.2011.09.021,,author1,1,,,
HOTxM8,HOT,Higher-order theory (HOT / HOROR),trial-level,submitted-v1,M8,cortical signature of access,P09,EXPLICIT,positive,necessity,Prefrontal higher-order representation is necessary for awareness; disruption of dlPFC should reduce awareness/metacognitive sensitivity at matched first-order performance.,Lau & Rosenthal 2011,10.1016/j.tics.2011.05.009,"abstract (defence against ""prefrontal activity reflects attention but not awareness"" and ""prefrontal lesion does not abolish awareness""); auxiliary evidence Rounis et al. 2010 (dlPFC theta-burst TMS lowers visibility/metacognitive sensitivity with d prime intact)",abstract-only,2,True,YES,,,,Prefrontal involvement in awareness reports; global ignition reproduced as a consequence of asymmetric state-space inference.,Fleming 2020,10.1093/nc/niz020,,author1,1,,,
HOTxM4a,HOT,Higher-order theory (HOT / HOROR),trial-level,added-in-revision,M4a,access to interoceptive content as content,,INTERPRETED,positive,effect,Interoceptive/survival-circuit inputs become conscious content through the same higher-order mechanism as exteroceptive inputs.,LeDoux & Brown 2017,10.1073/pnas.1619316114,abstract (what differs in emotional and non-emotional states are the inputs processed by a general cortical network),abstract-only,2,True,,IMPLICIT,,,,,,,author1,1,,,
HOTxM4b,HOT,Higher-order theory (HOT / HOROR),trial-level,added-in-revision,M4b,visceral modulation of access to exteroceptive content,,NOT_LOCATED,,,No statement located on visceral modulation of access to exteroceptive content.,Lau & Rosenthal 2011,10.1016/j.tics.2011.05.009,no statement located,abstract-only,2,True,,NO,,,,,,,author1,1,,,
HOTxM4c,HOT,Higher-order theory (HOT / HOROR),trial-level,added-in-revision,M4c,conscious involvement in purely autonomic conflict,,INTERPRETED,positive,effect,Autonomic/survival-circuit inputs can enter a higher-order emotional state; whether a purely autonomic conflict does so is not stated.,LeDoux & Brown 2017,10.1073/pnas.1619316114,"abstract (subcortical circuits ""provide nonconscious inputs that coalesce with other kinds of neural signals in the cognitive assembly of conscious emotional experiences"")",abstract-only,1,True,,IMPLICIT,,,,,,,author1,1,,,
HOSSxM1,HOSS,Higher-order state space (HOSS),trial-level,submitted-v1,M1,number of simultaneously competing action policies,,NOT_LOCATED,,,"Higher-order state space is defined over perceptual states, not action policies.",Fleming 2020,10.1093/nc/niz020,Section 3 Hypothesis (state space defined over perceptual generative models),full-text,2,True,NO,,,,"Higher-order state space is defined over perceptual generative models, not over action policies.",Fleming 2020,10.1093/nc/niz020,,author1,1,,,
HOSSxM2,HOSS,Higher-order state space (HOSS),trial-level,submitted-v1,M2,incompatibility of the competing policies,,NOT_LOCATED,,,No conflict-magnitude term.,Fleming 2020,10.1093/nc/niz020,Sections 3-4 (Model),full-text,2,True,NO,,,,No conflict-magnitude term.,Fleming 2020,10.1093/nc/niz020,,author1,1,,,
HOSSxM3,HOSS,Higher-order state space (HOSS),trial-level,submitted-v1,M3,valence,,NOT_LOCATED,,,No statement on valence located in the HOSS source.,Fleming 2020,10.1093/nc/niz020,whole text searched for valence/emotion: none,full-text,2,True,IMPLICIT,,,Split cell: the legacy IMPLICIT rests on LeDoux & Brown 2017 (HOT); Fleming 2020 contains no statement on valence. Entered NOT_LOCATED for the HOSS row; legacy code kept on the HOT row.,"Higher-order theory has been extended to emotional consciousness, but the extension asserts a common higher-order mechanism rather than predicting differential access thresholds for valenced content.",LeDoux & Brown 2017,10.1073/pnas.1619316114,,author1,1,,,
HOSSxM5,HOSS,Higher-order state space (HOSS),trial-level,submitted-v1,M5,organism-wide cortical–autonomic coherence,,NOT_LOCATED,,,Awareness inference is cortical/prefrontal; no organism-wide coherence claim.,Fleming 2020,10.1093/nc/niz020,Section 5 Empirical predictions (prefrontal encoding),full-text,2,True,NO,,,,Awareness is local and prefrontal; no organism-wide coherence claim.,Fleming 2020,10.1093/nc/niz020,,author1,1,,,
HOSSxM6,HOSS,Higher-order state space (HOSS),trial-level,submitted-v1,M6,dimensionality of phenomenal structure,P10,EXPLICIT,positive,constitution,The awareness state is one-dimensional (absent to present) and nested asymmetrically above a high-dimensional perceptual space.,Fleming 2020,10.1093/nc/niz020,"abstract and Section 3 Hypothesis (""one-dimensional continuum from absent to present""; asymmetric nesting, Figure 1D); Section 7 (""the higher-order awareness state is simple and low-dimensional"")",full-text,3,True,YES,,,,HOSS makes the sharp claim that the awareness state is low-dimensional — a 1D continuum from absent to present — nested asymmetrically above a high-dimensional perceptual space.,Fleming 2020,10.1093/nc/niz020,,author1,1,,,
HOSSxM7,HOSS,Higher-order state space (HOSS),trial-level,submitted-v1,M7,metacognitive sensitivity,P28,EXPLICIT,positive,marker,Awareness reports are metacognitive inferences over a generative model; confidence in content and inference on presence dissociate.,Fleming 2020,10.1093/nc/niz020,"abstract (""awareness reports as metacognitive decisions (inference)""); Section 4 Model and Figure 4 (dissociation of confidence in identity from the presence/absence inference)",full-text,2,True,YES,,,,"Core measurable: metacognitive sensitivity/efficiency (meta-d prime), calibration of confidence, and its dissociation from first-order performance.",Maniscalco & Lau 2012,10.1016/j.concog.2011.09.021,,author1,1,,,
HOSSxM8,HOSS,Higher-order state space (HOSS),trial-level,submitted-v1,M8,cortical signature of access,P29,EXPLICIT,positive,marker,Frontoparietal ignition follows from asymmetric inference on presence; prefrontal cortex should encode the awareness state symmetrically for presence and absence.,Fleming 2020,10.1093/nc/niz020,"Section 4.1 Simulations and Section 5 Empirical predictions (asymmetric ""global ignition"" for reports of presence; symmetric encoding of presence and absence in lateral/anterior PFC)",full-text,2,True,YES,,,,Prefrontal involvement in awareness reports; global ignition reproduced as a consequence of asymmetric state-space inference.,Fleming 2020,10.1093/nc/niz020,,author1,1,,,
HOSSxM4a,HOSS,Higher-order state space (HOSS),trial-level,added-in-revision,M4a,access to interoceptive content as content,,NOT_LOCATED,,,,Fleming 2020,10.1093/nc/niz020,whole text searched: no statement on interoceptive content as content (only Section 6 on interoceptive input as a precision cue),full-text,1,True,,IMPLICIT,,HOSS row carries the first coder's merged-row code; Fleming 2020 contains no statement on interoceptive content as content. NOT_LOCATED is the code the source supports.,,,,,author1,1,INTERPRETED,positive,"24 Sep 2026, first coder: code brought into line with the cell's own adjudication note (the previous code was the merged HOT/HOSS row's code / the YES-vs-IMPLICIT boundary rule applied); flag retained for coder 2 review."
HOSSxM4b,HOSS,Higher-order state space (HOSS),trial-level,added-in-revision,M4b,visceral modulation of access to exteroceptive content,,NOT_LOCATED,,,No prediction stated; but Section 6 names interoceptive input as a cue that informs the precision beliefs which resolve the awareness state.,Fleming 2020,10.1093/nc/niz020,"Section 6 Role of precision estimation (""Another source of information about sensory precision is proprioceptive and interoceptive input about bodily states"")",full-text,2,True,,NO,,First-coder code NO; Fleming 2020 Section 6 states a mechanism by which interoceptive input informs the inference on awareness of exteroceptive content - a constructed positive prediction needs no new machinery (INTERPRETED defensible). Code kept as given.,,,,,author1,1,,,
HOSSxM4c,HOSS,Higher-order state space (HOSS),trial-level,added-in-revision,M4c,conscious involvement in purely autonomic conflict,,NOT_LOCATED,,,,Fleming 2020,10.1093/nc/niz020,whole text searched: no statement,full-text,1,True,,IMPLICIT,,HOSS row carries the first coder's merged-row code; Fleming 2020 contains no statement on autonomic conflict. NOT_LOCATED is the code the source supports.,,,,,author1,1,INTERPRETED,positive,"24 Sep 2026, first coder: code brought into line with the cell's own adjudication note (the previous code was the merged HOT/HOSS row's code / the YES-vs-IMPLICIT boundary rule applied); flag retained for coder 2 review."
IITxM1,IIT,IIT (3.0/4.0),trial-level,submitted-v1,M1,number of simultaneously competing action policies,,NOT_LOCATED,,,The number of competing action policies is not a term of the formalism.,Albantakis et al. 2023,10.1371/journal.pcbi.1011465,postulates (cause-effect structure of a substrate in a state),full-text,2,False,NO,,,,phi is computed on the cause-effect structure of a substrate in a state; the number of competing action policies is not a term in the formalism.,Albantakis et al. 2023,10.1371/journal.pcbi.1011465,,author1,1,,,
IITxM2,IIT,IIT (3.0/4.0),trial-level,submitted-v1,M2,incompatibility of the competing policies,,NOT_LOCATED,,,Incompatibility of behavioural options is not a term of the formalism.,Albantakis et al. 2023,10.1371/journal.pcbi.1011465,integration/exclusion postulates,full-text,2,False,NO,,,,"Exclusion/integration postulates concern partitions of the substrate, not incompatibility of behavioural options.",Albantakis et al. 2023,10.1371/journal.pcbi.1011465,,author1,1,,,
IITxM3,IIT,IIT (3.0/4.0),trial-level,submitted-v1,M3,valence,,NOT_LOCATED,,,Affect is listed among non-essential properties of experience; no prediction over valence and access is stated.,Albantakis et al. 2023,10.1371/journal.pcbi.1011465,p. 4 (candidate properties that are not essential: affect listed; experiences lacking them held conceivable and achievable),full-text,2,False,NO,,,"Legacy NO; the cited passage (p. 4) states that affect is not an essential property of experience, which can be read as an EXPLICIT null over the constitutive role of valence rather than as silence; NOT_APPLICABLE is not warranted because IIT does not exclude the domain from its scope.",IIT 4.0 explicitly lists affect among candidate properties of experience that are NOT essential — experiences lacking it are held to be conceivable and achievable; valence is therefore excluded from the axioms.,Albantakis et al. 2023,10.1371/journal.pcbi.1011465,,author1,1,,,
IITxM5,IIT,IIT (3.0/4.0),trial-level,submitted-v1,M5,organism-wide cortical–autonomic coherence,,NOT_LOCATED,,,No organism-wide coherence prediction; the main complex may be a cortical subset.,Albantakis et al. 2023,10.1371/journal.pcbi.1011465,exclusion postulate (main complex),full-text,2,False,NO,,,,No organism-wide coherence prediction; the main complex may be a cortical subset.,Albantakis et al. 2023,10.1371/journal.pcbi.1011465,,author1,1,,,
