pair_id,pred_a,pred_b,theory_a,theory_b,domain_id,shared_condition,shared_outcome,relation,distinguishing_feature,what_result_would_favour_a,what_result_would_favour_b,exclusivity_stated,cogitate_operationalised,pair_confidence,pair_confidence_rationale,in_old_distinguishable_from,s4_row_confidence_a,s4_row_confidence_b,coder
M8-P02-P06,P02,P06,GNWT,IIT,M8,"Cogitate Experiment 1: suprathreshold visual stimuli (faces, objects, letters, false fonts), task-relevant and task-irrelevant, 0.5/1.0/1.5 s",,different,connectivity,"a second, offset-locked PFC ignition (~0.3-0.5 s after offset) with an activity-silent interval between onset and offset bursts (bears on P02 only; does not bear on P06)",sustained content-specific synchrony within posterior cortex (category-selective areas <-> V1/V2) (bears on P06 only; does not bear on P02),no: neither S4 row states exclusivity or necessity,no: both predictions were tested in Cogitate 2025 (Experiment 1) but against separate criteria; the pair was not operationalised as one test,2,Phasic PFC ignition timing (P02) vs within-posterior synchrony (P06): different measure and locus.,no,3,3,"first coder, reading assistant"
M8-P02-P08,P02,P08,GNWT,RPT,M8,consciously seen visual stimuli (P02 suprathreshold onset/offset; P08 near-threshold seen vs unseen - conditions differ),latency and locus of the content-specific neural correlate of a seen stimulus after onset,jointly compatible,timing,PFC ignition at ~0.3-0.5 s after onset and again after offset,"local recurrent activity in visual cortex at ~100-300 ms present for seen, absent for unseen","yes: P08 (RPT): ""local recurrence is necessary and sufficient for phenomenal content; frontal ignition is not necessary"" (expected_result)",no,2,"Different windows in different regions (100-300 ms visual cortex vs 300-500 ms PFC) can both occur in the same trial; P08's 'frontal ignition not necessary' does not predict its absence, and P02 does not deny an earlier local correlate. Old register conf 3 rested on a difference of description, not of predicted value.",yes,3,2,"first coder, reading assistant"
M8-P02-P09,P02,P09,GNWT,HOT,M8,,,different,condition,"a second, offset-locked PFC ignition (~0.3-0.5 s after offset) with an activity-silent interval between onset and offset bursts (bears on P02 only; does not bear on P09)",dlPFC disruption reduces subjective awareness / meta-d' while d' is intact (bears on P09 only; does not bear on P02),"yes: P09 (HOT): necessity of dlPFC - ""PFC disruption reduces awareness or meta-d' while d' is intact"" (relation: locus; necessity)",no,2,PFC ignition timing (P02) vs dlPFC disruption and meta-d' (P09): no shared observable.,no,3,2,"first coder, reading assistant"
M8-P02-P12,P02,P12,GNWT,AST,M8,,,different,locus,"a second, offset-locked PFC ignition (~0.3-0.5 s after offset) with an activity-silent interval between onset and offset bursts (bears on P02 only; does not bear on P12)",bilateral TPJ activity during awareness attribution; TPJ disruption produces neglect-like detection loss; attention control without awareness possible but impaired (bears on P12 only; does not bear on P02),"yes: P12 (AST): necessity of TPJ for awareness attribution - ""causal disruption impairs awareness attributions"" (expected_result)",no,2,PFC ignition timing (P02) vs TPJ substrate (P12): no shared observable.,no,3,2,"first coder, reading assistant"
M8-P02-P29,P02,P29,GNWT,HOSS,M8,consciously seen visual stimuli (P02 suprathreshold; P29 near-threshold presence reports - conditions differ),frontoparietal/prefrontal ignition on conscious detection of a stimulus,jointly compatible,timing,phasic PFC ignition at onset and a second ignition at offset,ignition for presence reports and none for absence reports; symmetric PFC coding of presence and absence,no: neither S4 row states exclusivity or necessity,no,2,Both predict ignition for a consciously seen stimulus; P29 adds absence of ignition on absence reports and P02 adds an offset event - neither value is excluded by the other row (S4 notes: 'HOSS derives ignition rather than staking a timing window').,no,3,1,"first coder, reading assistant"
M8-P02-P31,P02,P31,GNWT,IIT,M8,,,different,condition,"a second, offset-locked PFC ignition (~0.3-0.5 s after offset) with an activity-silent interval between onset and offset bursts (bears on P02 only; does not bear on P31)",higher pre-stimulus posterior excitability or posterior-V1/V2 synchrony -> higher probability of detection (bears on P31 only; does not bear on P02),no: neither S4 row states exclusivity or necessity,no,2,Post-stimulus PFC ignition (Exp 1) vs pre-stimulus posterior excitability and detection (Exp 2): no shared condition or observable.,no,3,3,"first coder, reading assistant"
M8-P03-P04,P03,P04,GNWT,IIT,M8,"Cogitate Experiment 1: suprathreshold visual stimuli (faces, objects, letters, false fonts), task-relevant and task-irrelevant, 0.5/1.0/1.5 s",,different,connectivity,content-specific PFC-posterior (gamma/beta) synchrony present when content is consciously perceived (bears on P03 only; does not bear on P04),content decodable from the posterior hot zone throughout the percept (bears on P04 only; does not bear on P03),"yes: P04 (IIT): denial of PFC necessity only - ""PFC decodability not required"" (distribution_prediction); no exclusivity of posterior stated",no: both predictions were tested in Cogitate 2025 (Experiment 1) but against separate criteria; the pair was not operationalised as one test,2,PFC-posterior synchrony (P03) vs posterior decoding (P04): different measures; both can hold.,no,3,2,"first coder, reading assistant"
M8-P03-P05,P03,P05,GNWT,IIT,M8,"Cogitate Experiment 1: suprathreshold visual stimuli (faces, objects, letters, false fonts), task-relevant and task-irrelevant, 0.5/1.0/1.5 s",,different,connectivity,content-specific PFC-posterior (gamma/beta) synchrony present when content is consciously perceived (bears on P03 only; does not bear on P05),"posterior content-specific activation tracks stimulus duration (0.5/1.0/1.5 s), no separate offset event (bears on P05 only; does not bear on P03)",no: neither S4 row states exclusivity or necessity,no: both predictions were tested in Cogitate 2025 (Experiment 1) but against separate criteria; the pair was not operationalised as one test,2,PFC-posterior synchrony (P03) vs duration-tracking of posterior activation (P05): different measures.,no,3,1,"first coder, reading assistant"
M8-P03-P06,P03,P06,GNWT,IIT,M8,"Cogitate Experiment 1: suprathreshold visual stimuli (faces, objects, letters, false fonts), task-relevant and task-irrelevant, 0.5/1.0/1.5 s",content-specific synchrony pattern between cortical regions during conscious perception (which connections carry the content; Cogitate analysis #3),jointly compatible,connectivity,content-specific long-range PFC <-> category-selective posterior synchrony present when content is perceived (a passes on its own criterion),sustained content-specific short-range synchrony between category-selective areas and V1/V2 (b passes on its own criterion),no: neither S4 row states exclusivity or necessity,"yes: Melloni et al. 2023 prediction 5 / analysis #3 (functional connectivity) - PFC-posterior synchrony (GNWT) vs within-posterior synchrony (IIT), each with its own criterion",2,"Same experiment and analysis, but neither S4 row excludes the other's connection: long-range and short-range content-specific synchrony can both be present; neither prediction *predicts* the absence of the other's synchrony, so no value combination is predicted by one and excluded by the other.",yes,3,3,"first coder, reading assistant"
M8-P03-P08,P03,P08,GNWT,RPT,M8,conscious perception of visual stimuli (present vs absent / seen vs unseen; conditions differ),,different,connectivity,content-specific PFC-posterior (gamma/beta) synchrony present when content is consciously perceived (bears on P03 only; does not bear on P08),"local recurrent activity in visual cortex (~100-300 ms; VAN) present for seen, absent for unseen, independent of report (bears on P08 only; does not bear on P03)","yes: P08 (RPT): ""local recurrence is necessary and sufficient for phenomenal content; frontal ignition is not necessary"" (expected_result)",no,2,"PFC-posterior synchrony (P03) vs local recurrent activity/VAN in visual cortex (P08): different measures; RPT's 'frontal ignition not necessary' concerns ignition, not synchrony. S4 insufficient for a shared observable.",no,3,2,"first coder, reading assistant"
M8-P03-P09,P03,P09,GNWT,HOT,M8,,,different,condition,content-specific PFC-posterior (gamma/beta) synchrony present when content is consciously perceived (bears on P03 only; does not bear on P09),dlPFC disruption reduces subjective awareness / meta-d' while d' is intact (bears on P09 only; does not bear on P03),"yes: P09 (HOT): necessity of dlPFC - ""PFC disruption reduces awareness or meta-d' while d' is intact"" (relation: locus; necessity)",no,2,PFC-posterior synchrony (P03) vs dlPFC disruption and meta-d' (P09): no shared observable.,no,3,2,"first coder, reading assistant"
M8-P03-P12,P03,P12,GNWT,AST,M8,,,different,locus,content-specific PFC-posterior (gamma/beta) synchrony present when content is consciously perceived (bears on P03 only; does not bear on P12),bilateral TPJ activity during awareness attribution; TPJ disruption produces neglect-like detection loss; attention control without awareness possible but impaired (bears on P12 only; does not bear on P03),"yes: P12 (AST): necessity of TPJ for awareness attribution - ""causal disruption impairs awareness attributions"" (expected_result)",no,2,PFC-posterior synchrony (P03) vs TPJ substrate (P12): no shared observable.,no,3,2,"first coder, reading assistant"
M8-P03-P29,P03,P29,GNWT,HOSS,M8,,,different,connectivity,content-specific PFC-posterior (gamma/beta) synchrony present when content is consciously perceived (bears on P03 only; does not bear on P29),frontoparietal ignition for presence reports but not absence reports; PFC decodes presence and absence symmetrically (bears on P29 only; does not bear on P03),no: neither S4 row states exclusivity or necessity,no,2,PFC-posterior synchrony (P03) vs frontoparietal ignition/awareness-state decoding (P29): different measures.,no,3,1,"first coder, reading assistant"
M8-P03-P31,P03,P31,GNWT,IIT,M8,,,different,condition,content-specific PFC-posterior (gamma/beta) synchrony present when content is consciously perceived (bears on P03 only; does not bear on P31),higher pre-stimulus posterior excitability or posterior-V1/V2 synchrony -> higher probability of detection (bears on P31 only; does not bear on P03),no: neither S4 row states exclusivity or necessity,no,2,Post-stimulus PFC-posterior synchrony (Exp 1) vs pre-stimulus posterior excitability (Exp 2): no shared condition or observable.,no,3,3,"first coder, reading assistant"
M8-P04-P08,P04,P08,IIT,RPT,M8,consciously seen visual stimuli (P04 suprathreshold 0.5-1.5 s; P08 near-threshold seen vs unseen - conditions differ),content-specific activity in posterior/visual cortex for seen stimuli,jointly compatible,timing,content decodable from the posterior hot zone sustained for the whole percept,"local recurrent activity in visual cortex at ~100-300 ms for seen, absent for unseen","yes: P04 (IIT): denial of PFC necessity only - ""PFC decodability not required"" (distribution_prediction); no exclusivity of posterior stated | P08 (RPT): ""local recurrence is necessary and sufficient for phenomenal content; frontal ignition is not necessary"" (expected_result)",no,2,Both predict posterior content-specific activity for seen stimuli (RPT's local recurrent loops lie within IIT's posterior hot zone); P08 does not state that recurrence ends at 300 ms and P04 does not deny an early recurrent phase.,no,2,2,"first coder, reading assistant"
M8-P04-P09,P04,P09,IIT,HOT,M8,,,different,locus,content decodable from the posterior hot zone throughout the percept (bears on P04 only; does not bear on P09),dlPFC disruption reduces subjective awareness / meta-d' while d' is intact (bears on P09 only; does not bear on P04),"yes: P04 (IIT): denial of PFC necessity only - ""PFC decodability not required"" (distribution_prediction); no exclusivity of posterior stated | P09 (HOT): necessity of dlPFC - ""PFC disruption reduces awareness or meta-d' while d' is intact"" (relation: locus; necessity)",no,2,P04's 'PFC decodability not required' is a statement about decoding; P09 is a causal claim about dlPFC disruption and meta-d' at matched d'. S4 does not state an IIT prediction for the TMS outcome (a derived one - dlPFC disruption leaves phenomenal awareness intact if the substrate is posterior - is not in S4). S4 insufficient.,yes,2,2,"first coder, reading assistant"
M8-P04-P12,P04,P12,IIT,AST,M8,,,different,locus,content decodable from the posterior hot zone throughout the percept (bears on P04 only; does not bear on P12),bilateral TPJ activity during awareness attribution; TPJ disruption produces neglect-like detection loss; attention control without awareness possible but impaired (bears on P12 only; does not bear on P04),"yes: P04 (IIT): denial of PFC necessity only - ""PFC decodability not required"" (distribution_prediction); no exclusivity of posterior stated | P12 (AST): necessity of TPJ for awareness attribution - ""causal disruption impairs awareness attributions"" (expected_result)",no,2,"Posterior hot-zone decoding (P04) vs TPJ activity/disruption in attention-control tasks (P12): different conditions and measures; note TPJ lies within IIT's 'occipital, temporal, parietal' hot zone, so even the locus contrast is weak.",yes,2,2,"first coder, reading assistant"
M8-P04-P29,P04,P29,IIT,HOSS,M8,,,different,locus,content decodable from the posterior hot zone throughout the percept (bears on P04 only; does not bear on P29),frontoparietal ignition for presence reports but not absence reports; PFC decodes presence and absence symmetrically (bears on P29 only; does not bear on P04),"yes: P04 (IIT): denial of PFC necessity only - ""PFC decodability not required"" (distribution_prediction); no exclusivity of posterior stated",no,2,Posterior decoding of content (P04) vs prefrontal decoding of the awareness state and frontoparietal ignition (P29): different decoded variables and conditions; P04's 'PFC decodability not required' does not predict absence of PFC awareness-state coding.,yes,2,1,"first coder, reading assistant"
M8-P04-P30,P04,P30,IIT,GNWT,M8,,,different,condition,content decodable from the posterior hot zone throughout the percept (bears on P04 only; does not bear on P30),higher pre-stimulus prefrontal/parietal activity -> lower probability of detection (bears on P30 only; does not bear on P04),"yes: P04 (IIT): denial of PFC necessity only - ""PFC decodability not required"" (distribution_prediction); no exclusivity of posterior stated",no,2,Posterior decoding of suprathreshold content (Exp 1) vs pre-stimulus fronto-parietal activity and detection (Exp 2): no shared condition or observable.,no,2,3,"first coder, reading assistant"
M8-P05-P08,P05,P08,IIT,RPT,M8,consciously seen visual stimuli (P05 suprathreshold 0.5-1.5 s; P08 near-threshold - conditions differ),time course of content-specific activity in posterior/visual cortex after onset,jointly compatible,timing,posterior activation tracks stimulus duration with no separate offset event,"recurrent activity at ~100-300 ms present for seen, absent for unseen","yes: P08 (RPT): ""local recurrence is necessary and sufficient for phenomenal content; frontal ignition is not necessary"" (expected_result)",no,1,"Compatible on S4 text (an early recurrent phase persisting for the duration satisfies both), but S4 does not state whether RPT predicts that recurrence persists for long stimuli; confidence 1 for the mismatch of conditions.",no,1,2,"first coder, reading assistant"
M8-P05-P09,P05,P09,IIT,HOT,M8,,,different,condition,"posterior content-specific activation tracks stimulus duration (0.5/1.0/1.5 s), no separate offset event (bears on P05 only; does not bear on P09)",dlPFC disruption reduces subjective awareness / meta-d' while d' is intact (bears on P09 only; does not bear on P05),"yes: P09 (HOT): necessity of dlPFC - ""PFC disruption reduces awareness or meta-d' while d' is intact"" (relation: locus; necessity)",no,2,Duration-tracking of posterior activation (P05) vs dlPFC disruption and meta-d' (P09): no shared observable.,no,1,2,"first coder, reading assistant"
M8-P05-P12,P05,P12,IIT,AST,M8,,,different,locus,"posterior content-specific activation tracks stimulus duration (0.5/1.0/1.5 s), no separate offset event (bears on P05 only; does not bear on P12)",bilateral TPJ activity during awareness attribution; TPJ disruption produces neglect-like detection loss; attention control without awareness possible but impaired (bears on P12 only; does not bear on P05),"yes: P12 (AST): necessity of TPJ for awareness attribution - ""causal disruption impairs awareness attributions"" (expected_result)",no,2,Duration-tracking of posterior activation (P05) vs TPJ substrate (P12): no shared observable.,no,1,2,"first coder, reading assistant"
M8-P05-P29,P05,P29,IIT,HOSS,M8,,,different,distribution,"posterior content-specific activation tracks stimulus duration (0.5/1.0/1.5 s), no separate offset event (bears on P05 only; does not bear on P29)",frontoparietal ignition for presence reports but not absence reports; PFC decodes presence and absence symmetrically (bears on P29 only; does not bear on P05),no: neither S4 row states exclusivity or necessity,no,2,"Posterior activation tracking duration (P05, suprathreshold duration manipulation) vs asymmetric frontoparietal ignition for presence vs absence (P29, near-threshold): different loci, conditions and contrasts; old register 'distribution/timing' contrast has no shared observable.",yes,1,1,"first coder, reading assistant"
M8-P05-P30,P05,P30,IIT,GNWT,M8,,,different,condition,"posterior content-specific activation tracks stimulus duration (0.5/1.0/1.5 s), no separate offset event (bears on P05 only; does not bear on P30)",higher pre-stimulus prefrontal/parietal activity -> lower probability of detection (bears on P30 only; does not bear on P05),no: neither S4 row states exclusivity or necessity,no,2,Duration-tracking of posterior activation (Exp 1) vs pre-stimulus fronto-parietal activity and detection (Exp 2): no shared condition or observable.,no,1,3,"first coder, reading assistant"
M8-P06-P08,P06,P08,IIT,RPT,M8,"conscious perception of visual stimuli (P06 content present vs absent, suprathreshold; P08 seen vs unseen, near-threshold)",recurrent / synchronous interaction between higher visual (category-selective) areas and V1/V2 during conscious perception,jointly compatible,timing,sustained content-specific synchrony between category-selective areas and V1/V2 for the whole percept,"feedback/recurrent interaction in visual cortex at ~100-300 ms present for seen, absent for unseen","yes: P08 (RPT): ""local recurrence is necessary and sufficient for phenomenal content; frontal ignition is not necessary"" (expected_result)",no,2,"Both name the same intra-posterior loop (higher visual areas <-> V1/V2) as the correlate; they differ only in the window (sustained vs ~100-300 ms), and neither excludes the other's window.",no,3,2,"first coder, reading assistant"
M8-P06-P09,P06,P09,IIT,HOT,M8,,,different,condition,sustained content-specific synchrony within posterior cortex (category-selective areas <-> V1/V2) (bears on P06 only; does not bear on P09),dlPFC disruption reduces subjective awareness / meta-d' while d' is intact (bears on P09 only; does not bear on P06),"yes: P09 (HOT): necessity of dlPFC - ""PFC disruption reduces awareness or meta-d' while d' is intact"" (relation: locus; necessity)",no,2,Within-posterior synchrony (P06) vs dlPFC disruption and meta-d' (P09): no shared observable.,no,3,2,"first coder, reading assistant"
M8-P06-P12,P06,P12,IIT,AST,M8,,,different,locus,sustained content-specific synchrony within posterior cortex (category-selective areas <-> V1/V2) (bears on P06 only; does not bear on P12),bilateral TPJ activity during awareness attribution; TPJ disruption produces neglect-like detection loss; attention control without awareness possible but impaired (bears on P12 only; does not bear on P06),"yes: P12 (AST): necessity of TPJ for awareness attribution - ""causal disruption impairs awareness attributions"" (expected_result)",no,2,Within-posterior synchrony (P06) vs TPJ substrate (P12): no shared observable.,no,3,2,"first coder, reading assistant"
M8-P06-P29,P06,P29,IIT,HOSS,M8,,,different,connectivity,sustained content-specific synchrony within posterior cortex (category-selective areas <-> V1/V2) (bears on P06 only; does not bear on P29),frontoparietal ignition for presence reports but not absence reports; PFC decodes presence and absence symmetrically (bears on P29 only; does not bear on P06),no: neither S4 row states exclusivity or necessity,no,2,Within-posterior synchrony (P06) vs frontoparietal ignition/awareness-state decoding (P29): different measures.,no,3,1,"first coder, reading assistant"
M8-P06-P30,P06,P30,IIT,GNWT,M8,,,different,condition,sustained content-specific synchrony within posterior cortex (category-selective areas <-> V1/V2) (bears on P06 only; does not bear on P30),higher pre-stimulus prefrontal/parietal activity -> lower probability of detection (bears on P30 only; does not bear on P06),no: neither S4 row states exclusivity or necessity,no,2,Within-posterior synchrony (Exp 1) vs pre-stimulus fronto-parietal activity and detection (Exp 2): no shared condition or observable.,no,3,3,"first coder, reading assistant"
M8-P08-P09,P08,P09,RPT,HOT,M8,conscious perception of a visual stimulus with prefrontal function intact vs disrupted (P08 seen vs unseen with/without report; P09 dlPFC disruption at matched d' - conditions differ),dependence of awareness of a seen stimulus on prefrontal function (P08: frontal ignition 'not necessary'; P09: dlPFC disruption reduces awareness/meta-d'),discriminating,locus,dlPFC disruption leaves subjective awareness and meta-d' unchanged at matched d' while VAN/local recurrence is intact,dlPFC disruption reduces subjective awareness / meta-d' while d' is intact,"yes: P08 (RPT): ""local recurrence is necessary and sufficient for phenomenal content; frontal ignition is not necessary"" (expected_result) | P09 (HOT): necessity of dlPFC - ""PFC disruption reduces awareness or meta-d' while d' is intact"" (relation: locus; necessity)",no,1,"Opposite stated necessity claims about prefrontal cortex: the value 'awareness reduced by dlPFC disruption at matched d'' is predicted by P09 and excluded by P08 IF 'awareness/meta-d'' (P09) and 'phenomenal content' (P08) are the same variable; P08's auxiliary 'phenomenal content can exist without access/report' lets RPT reinterpret a P09 result as access - S4 cannot settle the identity of the variable, hence confidence 1 (flag for adjudication).",yes,2,2,"first coder, reading assistant"
M8-P08-P12,P08,P12,RPT,AST,M8,,,different,locus,"local recurrent activity in visual cortex (~100-300 ms; VAN) present for seen, absent for unseen, independent of report (bears on P08 only; does not bear on P12)",bilateral TPJ activity during awareness attribution; TPJ disruption produces neglect-like detection loss; attention control without awareness possible but impaired (bears on P12 only; does not bear on P08),"yes: P08 (RPT): ""local recurrence is necessary and sufficient for phenomenal content; frontal ignition is not necessary"" (expected_result) | P12 (AST): necessity of TPJ for awareness attribution - ""causal disruption impairs awareness attributions"" (expected_result)",no,2,"Local recurrence in visual cortex for seen vs unseen (P08) vs TPJ activity/disruption in attention-control tasks (P12): different observables; RPT's sufficiency claim would bear on P12 only if TPJ disruption spared local recurrence, which S4 does not state. S4 insufficient.",yes,2,2,"first coder, reading assistant"
M8-P08-P29,P08,P29,RPT,HOSS,M8,"near-threshold visual detection, seen vs unseen (P08) / presence vs absence reports (P29)",frontoparietal ignition on seen / presence trials,jointly compatible,locus,local recurrence in visual cortex present for seen trials independent of report; frontal ignition may or may not occur,frontoparietal ignition on presence reports and not on absence reports; symmetric PFC coding of presence/absence,"yes: P08 (RPT): ""local recurrence is necessary and sufficient for phenomenal content; frontal ignition is not necessary"" (expected_result)",no,2,"P29 predicts ignition for presence reports; P08 states frontal ignition is 'not necessary' but does not predict its absence, so both can hold; P08's report-independence claim and P29's report-based contrast do not share a value.",yes,2,1,"first coder, reading assistant"
