item,source,doi,evidence_status,access_route,claim_supported,usable_sentence,note
5,Seth & Friston 2016 (Phil Trans B),10.1098/rstb.2016.0007,full_text,PMC,no (P24 not stated); partly (mechanism),"Which aspects of interoceptive inference are consciously experienced is left open, with predictions rather than prediction errors named as the preferred vehicle.",points against P24 as phrased ('unresolved prediction error yields a feeling')
6,Morsella 2005 (Psych Rev),10.1037/0033-295X.112.4.1000,abstract_only,PubMed; OA copy (PhilPapers) returned HTTP 403,not checkable beyond abstract,PRISM: supramodular response systems may conflict with skeletal muscle plans; without phenomenal states they could not collectively influence skeletomotor action.,no numerical threshold in abstract; P16 locus should not cite a 2005 page until read
6,Morsella et al. 2016 (BBS) threshold wording,10.1017/S0140525X15000643,full_text,publisher PDF,yes,Conscious conflicts occur when two streams of efference binding influence skeletomotor action simultaneously / when incompatible skeletomotor plans are activated; nothing is stated above two; compatible plans may co-occur without perturbation (synchrony blindness).,"gradation stated along incompatibility, not number"
7,Park & Tallon-Baudry 2014 (Phil Trans B),10.1098/rstb.2013.0208,abstract_only,PMC record without OA body; publisher PDF 403,M4b yes; M4a-as-content no,"The neural subjective frame is a first-person referential built from visceral representations, necessary but not sufficient for perceptual experience and not explicitly experienced by itself.",
7,"Park, Correia, Ducorps & Tallon-Baudry 2014 (Nat Neurosci)",10.1038/nn.3671,abstract_only,PubMed,yes (M4b),"Pre-stimulus heartbeat-locked neural events in right inferior parietal lobule and ventral anterior cingulate predict detection of a faint grating, not accounted for by measured bodily parameters or overall excitability.","already ref [119]; P20 currently filed under M4a, finding is M4b"
7,"Azzalini, Rebollo & Tallon-Baudry 2019 (TICS)",10.1016/j.tics.2019.03.007,abstract_only,HAL deposit hal-02355098 contains a different manuscript,partly (abstract level),Cardiac and gastric signals shape resting brain dynamics and influence processing of external sensory information.,body text not readable
8,Fleming 2020 (HOSS),10.1093/nc/niz020,full_text,arXiv 1906.00728v3 preprint of the published article,yes,HOSS models awareness reports as metacognitive inference over a one-dimensional presence/absence state factorised from content; higher-order inference necessary but possibly not sufficient; predicts prefrontal involvement in decisions about absence.,section numbering from preprint
8,Lau & Rosenthal 2011 (HOT),10.1016/j.tics.2011.05.009,abstract_only,PubMed; closed access,partly,Awareness depends on higher-order representations of oneself as being in particular mental states; the review defends the prefrontal evidence against the attention and lesion objections.,P09/P11 locus claims not verified in body text
9,Lamme & Roelfsema 2000,10.1016/S0166-2236(00)01657-X,abstract_only,PubMed; closed access,partly,The feedforward sweep is probably incapable of yielding visual awareness; in many cases recurrent processing is necessary before a stimulus can enter consciousness.,'sufficient' and 'frontal ignition not necessary' (P08) not in abstract
9,Lamme 2006,10.1016/j.tics.2006.09.001,abstract_only,PubMed; closed access,no (locus/timing not in abstract),Neural and behavioural measures should be put on an equal footing in defining visual consciousness.,
9,Webb & Graziano 2015 (cited as Graziano & Webb 2015),10.3389/fpsyg.2015.00500,full_text,publisher PDF,no (no locus or timing claim in this paper),Without awareness of a stimulus its effects on attention and behaviour cannot be regulated in line with goals as well as when it is consciously perceived.,author order: Webb first in the published article; CrossRef lists Graziano first
9,Graziano & Kastner 2011 (added),10.1080/17588928.2011.565121,full_text,PMC author manuscript,yes (AST locus),Damage to the right TPJ and STS should often be associated with a deficit in consciousness.,no timing claim
