publication_id,study_family_id,experiment_id,sample_id,citation_label,doi,year,experiment_label,participants_total,participants_in_analysis,samples_detail,paradigm,modality,affective_status,effector_type,content_class_v2,manipulation,measured_outcome,report_type,theory_attribution_by_authors,theory_attribution_later,later_attribution_evidence,later_attribution_detail,theory_attribution_coder,by_authors_named,later_named,later_context_read,theory_addressed,theory_addressed_strict,theory_addressed_incl_coder,contested_inclusion,contested_reason,ancillary_experiment,has_content_manipulation,legacy_content,legacy_theory_addressed,evidence_status,notes,unit_type
P10,F10,P10-E1,P10-E1-S1,Frässle et al. 2014,10.1523/jneurosci.4403-13.2014,2014,Single fMRI experiment with active and passive conditions (single experiment confirmed from full text),not stated in abstract,20,"20 (all analysed; behavioural statistics report t(19); no participant exclusions stated, only the first four scans per run discarded)",Binocular rivalry with OKN/pupil as objective readout; active-report vs passive (no-report); fMRI,visual,neutral,,neutral-visual,Report condition (active button-press report vs passive viewing) × rivalry vs replay × rivalry type (colour/motion vs luminance gratings); perceptual state read out objectively from OKN and pupil size,fMRI activity time-locked to perceptual alternations (rivalry > replay) under active report vs passive viewing; frontal activity present only with active report; dominance durations; validity of OKN/pupil readouts,both (active-report blocks with button presses; passive no-report blocks decoded from OKN/pupil),"none named (the authors test ""the popular view of a driving role of frontal areas in the initiation of perceptual alternations"" against a self-monitoring/introspection hypothesis; no coded theory is named in Introduction, Results or Discussion)","Boly et al. 2017 Fig. 1G, doi:10.1523/jneurosci.3218-16.2017 (cited as evidence that report-independent correlates are posterior; theory not named at locus); NSF: Babo-Rebelo et al. 2016, doi:10.1523/JNEUROSCI.0262-16.2016 (reference list); Melloni et al. 2023 and Cogitate 2025 (reference lists)",CONTEXT_UNNAMED;REFLIST,Boly 2017 context read (theory not named); others reference list only,Bears on GNWT (frontal involvement) as a no-report challenge; legacy coded GNWT — coder inference,none,True,False,True,False,True,False,,False,True,neutral-visual,GNWT,full text read,25 Sep 2026 full-text reading: No partition change; N supplied (20). Attribution unchanged (none named).,experiment
P11,F11,P11-E1,P11-E1-S1,Tsuchiya & Koch 2005,10.1038/nn1500,2005,Psychophysical experiments (number not verifiable from abstract),not stated in abstract,17,17 (d.f. = 16 in the paired t-test),Continuous flash suppression; negative afterimage strength,visual,neutral,,neutral-visual,Dichoptic suppression method (CFS with 10 Hz Mondrians vs binocular rivalry) applied to a gray figure; time until any part of the figure became visible,Initial suppression duration (56.0 s CFS vs 4.3 s rivalry); trials with no visibility for the full 3 min,report (button press at first visibility + verbal description),"none named (no coded theory named in Introduction, Results or Discussion; the Discussion closes with ""These results support the view that attention and awareness involve different mechanisms1,46"", which is not a coded theory)","GNWT: Dehaene & Changeux 2011, doi:10.1016/j.neuron.2011.03.018 (reference list)",REFLIST,reference list only,IIT/RPT per legacy; no source located naming either — coder inference only,none,True,False,True,False,True,False,,False,True,neutral-visual,RPT/IIT,full text read,25 Sep 2026 full-text reading: Partition change: the publication reports five numbered experiments with separate samples (Methods: Experiment 1–5). Propose P11-E1 = Experiment 1 and new rows P11-E2..E5.,experiment
P11,F11,P11-E2,P11-S2,Tsuchiya & Koch 2005,10.1038/nn1500,2005,"experiment (Experiment 2: two-trial pilot, verbal percept description)",,16,16 (two trials each; described by the authors as a pilot experiment),Continuous flash suppression; negative afterimage strength,visual,neutral,,neutral-visual,CFS applied to one of two isoluminant Gabor adaptors (suppressed vs visible location) during 5-s adaptation,Verbal description of afterimage percepts (87% reported weaker afterimage at the suppressed location),report (free verbal description of percept after adaptation),"none named (no coded theory named in Introduction, Results or Discussion; the Discussion closes with ""These results support the view that attention and awareness involve different mechanisms1,46"", which is not a coded theory)","GNWT: Dehaene & Changeux 2011, doi:10.1016/j.neuron.2011.03.018 (reference list)",REFLIST,reference list only,IIT/RPT per legacy; no source located naming either — coder inference only,none,True,False,True,False,True,False,,True,True,,,full text read,Row added 25 Sep 2026 after full-text reading (partition of the publication into separately analysed experiments): Proposed new row; consider ancillary_experiment = True (authors label it a pilot experiment).,experiment
P11,F11,P11-E3,P11-S3,Tsuchiya & Koch 2005,10.1038/nn1500,2005,"experiment (Experiment 3: synchronous vs asynchronous CFS, afterimage rating)",,6,6 (d.f. = 5),Continuous flash suppression; negative afterimage strength,visual,neutral,,neutral-visual,"Synchronous vs asynchronous CFS relative to intermittent Gabor adaptors, plus an unsuppressed control location",Subjective afterimage intensity rating relative to control (synchronous CFS 5.85 vs asynchronous 11.1; 47% reduction),report (magnitude rating of afterimage intensity),"none named (no coded theory named in Introduction, Results or Discussion; the Discussion closes with ""These results support the view that attention and awareness involve different mechanisms1,46"", which is not a coded theory)","GNWT: Dehaene & Changeux 2011, doi:10.1016/j.neuron.2011.03.018 (reference list)",REFLIST,reference list only,IIT/RPT per legacy; no source located naming either — coder inference only,none,True,False,True,False,True,False,,False,True,,,full text read,Row added 25 Sep 2026 after full-text reading (partition of the publication into separately analysed experiments): Proposed new row; consider ancillary_experiment = True (control for Mondrian afterimage interference).,experiment
P11,F11,P11-E4,P11-S4,Tsuchiya & Koch 2005,10.1038/nn1500,2005,experiment (Experiment 4: reliability of suppression vs afterimage reduction; CFS and binocular rivalry),,5,5 (four naive subjects and the first author),Continuous flash suppression; negative afterimage strength,visual,neutral,,neutral-visual,Reliability of suppression varied via adaptor spatial frequency (5 levels) and adaptor/Mondrian contrast (3 combinations); CFS vs binocular rivalry; adaptor visibility reported per trial,Which afterimage was stronger (2AFC) as a function of adaptor visibility (r² = 0.82 CFS; 0.76 rivalry),report (2AFC afterimage comparison + trial-wise yes/no visibility of the adaptor),"none named (no coded theory named in Introduction, Results or Discussion; the Discussion closes with ""These results support the view that attention and awareness involve different mechanisms1,46"", which is not a coded theory)","GNWT: Dehaene & Changeux 2011, doi:10.1016/j.neuron.2011.03.018 (reference list)",REFLIST,reference list only,IIT/RPT per legacy; no source located naming either — coder inference only,none,True,False,True,False,True,False,,False,True,,,full text read,Row added 25 Sep 2026 after full-text reading (partition of the publication into separately analysed experiments): Proposed new row.,experiment
P11,F11,P11-E5,P11-S5,Tsuchiya & Koch 2005,10.1038/nn1500,2005,experiment (Experiment 5: trial-by-trial visibility and afterimage matching contrast),,5,5 (four experienced subjects and the first author; n = 5 in the reported t-test),Continuous flash suppression; negative afterimage strength,visual,neutral,,neutral-visual,CFS suppression of a Gabor adaptor under three conditions from Experiment 4; adaptor visibility tracked continuously by key-hold during 5-s adaptation,Matching contrast of afterimage (psychometric fits); relation between trial-wise adaptor visibility duration and afterimage strength,report (continuous key-hold visibility report + 2AFC afterimage comparison),"none named (no coded theory named in Introduction, Results or Discussion; the Discussion closes with ""These results support the view that attention and awareness involve different mechanisms1,46"", which is not a coded theory)","GNWT: Dehaene & Changeux 2011, doi:10.1016/j.neuron.2011.03.018 (reference list)",REFLIST,reference list only,IIT/RPT per legacy; no source located naming either — coder inference only,none,True,False,True,False,True,False,,False,True,,,full text read,Row added 25 Sep 2026 after full-text reading (partition of the publication into separately analysed experiments): Proposed new row.,experiment
P12,F12,P12-E1,P12-E1-S1,Pitts et al. 2014,10.3389/fpsyg.2014.01078,2014,EEG experiment (a separate 12-participant behavioural calibration study set the SOAs; not counted as an access experiment),26,18,"26 tested; 3 excluded for EEG artefact, 5 for awareness of 16 ms stimuli","Inattentional blindness with task-irrelevant textures; masking SOA; EEG (no-report during task, awareness assessed post hoc)",visual,neutral,,neutral-visual,Awareness (aware vs unaware phase) × task relevance of line-texture shapes; masking SOA,"ERP components (VAN, P3b) as a function of awareness and task relevance",no-report (awareness assessed post hoc),"none named (full text: cites Dehaene & Naccache 2001 / Dehaene et al. 2006 for the definition of ""access consciousness""; no theory tested or named)","Boly et al. 2017, doi:10.1523/jneurosci.3218-16.2017 (reference list)",REFLIST,reference list only,GNWT-relevant (P3b dissociated from awareness) — coder inference; legacy coded GNWT,False,False,False,False,False,True,False,,False,True,neutral-visual,GNWT,full text read,,experiment
P13,F13,P13-E1,P13-E1-S1;P13-E1-S2;P13-E1-S3,Kronemer et al. 2022,10.1038/s41467-022-35117-4,2022,Report Paradigm,144 healthy recruited across the four healthy data sets (publication level) + 7 patients,fMRI 34; hdEEG 57; patients 7,S1 fMRI N=37 (34 in the reported fMRI analysis); S2 hdEEG+eye tracking N=59 (57 analysed); S3 patients with thalamic electrodes N=7 (6 with scalp+icEEG),"Visual detection of faint discs at threshold; Report and Report + No-Report paradigms; hdEEG, fMRI, pupillometry, thalamic iEEG",visual,neutral,,neutral-visual,Perceived vs not perceived threshold stimuli; report vs no report,"ERPs, fMRI network changes, thalamic awareness potential",report,none named (full text: Baars 2005 and Tononi et al. 2016 cited only as background refs 2–3; no theory tested),,,,GNWT per legacy — coder inference only,False,False,False,False,False,True,False,,False,True,neutral-visual,GNWT,full text read,,experiment
P13,F13,P13-E2,P13-E2-S1;P13-E2-S2,Kronemer et al. 2022,10.1038/s41467-022-35117-4,2022,Report + No-Report Paradigm (eye-metric classification of perceived vs not perceived),see E1 (144 healthy recruited at publication level),fMRI 65; hdEEG 65,S1 fMRI+eye tracking N=65; S2 hdEEG+eye tracking N=65,"Visual detection of faint discs at threshold; Report and Report + No-Report paradigms; hdEEG, fMRI, pupillometry, thalamic iEEG",visual,neutral,,neutral-visual,Perceived vs not perceived threshold stimuli; report vs no report,"ERPs, fMRI network changes, thalamic awareness potential",both,none named (as E1),,,,GNWT per legacy — coder inference only,False,False,False,False,False,True,False,,False,True,neutral-visual,GNWT,full text read,,experiment
P14,F14,P14-E1,P14-E1-S1,Dellert et al. 2025,10.1016/j.cub.2025.10.026,2025,Single fMRI experiment (single experiment confirmed from full text),63,55,"55 analysed (26 informed-aware, 29 uninformed-unaware) of 63 recruited; 5 informed-but-unaware and 1 late-noticer excluded",No-report inattentional deafness; aware vs unaware groups; fMRI,auditory,neutral,,neutral-nonvisual,Between-group awareness of task-irrelevant critical speech sounds in background noise (informed/aware vs uninformed/unaware) during an auditory oddball distractor task; physically identical stimulation,"fMRI responses to critical sounds (critical vs null) in each group and aware vs unaware contrast, frequentist and Bayesian; awareness assessment; phase-2 detection d′",no-report (awareness assessed once after imaging by post hoc questionnaire; no trial-wise report during the awareness phase),"GNWT, HOT, RPT, IIT — all four named in the Introduction as the theories that disagree about sensory vs fronto-parietal NCCs, and in the Discussion as the frameworks the result bears on (result ""better compatible"" with RPT and IIT; frontal effects ""compatible with"" GNWT/HOT in location but not in strength)",,,,GNWT vs IIT framing per legacy — coder inference only,GNWT;HOT;RPT;IIT,False,False,True,True,True,False,,False,True,neutral-nonvisual,GNWT/IIT,full text read,"25 Sep 2026 full-text reading: No partition change. Attribution changes from ""not verifiable from abstract"" to four coded theories named by the authors (GNWT, HOT, RPT, IIT). participants_in_analysis = 55 (not 63).",experiment
P16,F16,P16-E1,P16-E1-S1,Maniscalco & Lau 2012,10.1016/j.concog.2011.09.021,2012,Single experiment accompanying the method,30,27,27 analysed (paired t-test t(26); Supplementary figure legend states 27 subjects) of 30 who performed the task; the exclusion of 3 is not explained in the main text,2-interval forced-choice visual task with confidence ratings; meta-d′ estimation,visual,neutral,,neutral-visual,"None over access; spatial 2IFC visual discrimination with contrast titration, followed by four-point confidence ratings",Metacognitive (type 2) sensitivity meta-d′ relative to d′ (mean meta-d′/d′ = 0.77),report (trial-wise confidence rating on a four-point scale),none named (measurement paper; Lau & Rosenthal 2011 is cited only as one of several models on which 'type 2 decisions are based upon further processing of the same information used to make type 1 decisions'; no theory is named as tested or as the framework the result bears on; §4.3 explicitly declines to treat type 2 sensitivity as a measure of awareness),"HOT: Brown, Lau & LeDoux 2019, doi:10.1016/j.tics.2019.06.009 (reference list); HOSS: Fleming & Daw 2017, doi:10.1037/rev0000045 (context read: cited for the meta-d′ method, not as evidence)",REFLIST,reference list / method citation only,HOT/HOSS measurement framework (codebook §5) — coder inference,none,True,False,True,False,True,True,"Metacognitive index (meta-d′), not an access manipulation or an awareness measure; the authors themselves state in §4.3 that type 2 sensitivity should not be used as a measure of awareness",False,True,neutral-visual,HOT/HOSS,full text read,"25 Sep 2026 full-text reading: No partition change. participants_in_analysis should be 27, not 30 (participants_total 30 stands). Contested status confirmed by the authors’ own §4.3.",experiment
P17,F17,P17-E1,P17-E1-S1,Rounis et al. 2010,10.1080/17588921003632529,2010,Single experiment (per abstract),not stated in abstract,not stated in abstract,,Bilateral theta-burst TMS to DLPFC; visual discrimination with visibility ratings,visual,neutral,,neutral-visual,TMS to DLPFC vs control; stimulus discrimination held constant,Visibility ratings and metacognitive sensitivity (type-2 SDT),report,"not verifiable from abstract (no theory named; PFC activations ""may reflect a critical metacognitive process"")","HOSS: Fleming & Daw 2017, doi:10.1037/rev0000045 (context read: evidence for PFC role in confidence); HOT: Lau & Rosenthal 2011, doi:10.1016/j.tics.2011.05.009; Brown, Lau & LeDoux 2019 (reference lists); GNWT: Dehaene & Changeux 2011 (reference list)",CONTEXT_NAMED;REFLIST,Fleming & Daw 2017 context read; others reference list only,,False,True,True,True,True,True,True,"metacognitive index, not access manipulation (TMS alters visibility ratings/metacognitive sensitivity with d′ unchanged)",False,True,neutral-visual,HOT/HOSS,abstract only (full text not accessible in automated retrieval),"25 Sep 2026: the PDF filed under this DOI is Bor et al. 2017 (the failed replication), not Rounis 2010; source still missing",publication-as-one (partition unverified)
P18,F18,P18-E1,P18-E1-S1,Fleming et al. 2010,10.1126/science.1191883,2010,Single experiment,32,32,,Perceptual 2-IFC with confidence; VBM/DTI,visual,neutral,,neutral-visual,None over access; inter-individual metacognitive accuracy at matched performance,Metacognitive accuracy vs grey-matter volume and white-matter microstructure,report,none named (full text: no theory of consciousness named),"HOSS: Fleming & Daw 2017, doi:10.1037/rev0000045 (context read: aPFC role; data set re-used); HOT: Lau & Rosenthal 2011 (reference list); GNWT: Dehaene & Changeux 2011 (reference list)",CONTEXT_NAMED;REFLIST,Fleming & Daw 2017 context read; others reference list only,,False,True,True,True,True,True,True,"metacognitive index, not access manipulation (individual differences in confidence–accuracy correspondence)",False,True,neutral-visual,HOT/HOSS,full text read,,experiment
P19,F19,P19-E1,P19-E1-S1;P19-E1-S2;P19-E1-S3,Fleming et al. 2014,10.1093/brain/awu221,2014,Single experiment (three groups),37,37,S1 anterior PFC lesion n=7; S2 temporal-lobe lesion n=11; S3 healthy controls n=19,Perceptual and memory tasks with confidence in aPFC lesion patients vs comparison groups,visual,neutral,,neutral-visual,Lesion group (aPFC vs temporal vs control) × domain (perception vs memory),Metacognitive accuracy (meta-d′) with performance matched,report,none named (full text: Lau & Rosenthal 2011 cited among evidence for aPFC in metacognition; no theory tested),"HOSS: Fleming & Daw 2017, doi:10.1037/rev0000045 (context read: lesion evidence for PFC in confidence); HOT: Brown, Lau & LeDoux 2019 (reference list)",CONTEXT_NAMED;REFLIST,Fleming & Daw 2017 context read; Brown 2019 reference list only,,False,True,True,True,True,True,True,"metacognitive index, not access manipulation (domain-specific meta-d′ deficit)",False,True,neutral-visual,HOT/HOSS,full text read,,experiment
P20,F20,P20-E1,P20-E1-S1,Dijkstra & Fleming 2023,10.1038/s41467-023-37322-1,2023,"Experiment 1 (online, one trial per participant)",400,272,,One-trial-per-participant imagery/perception judgements; reality threshold model (fMRI re-analysis of an earlier data set not counted as a new experiment),visual,neutral,,neutral-visual,Imagined vs presented gratings; signal strength / vividness,Reality judgements; vividness; model comparison,report,"HOT — Discussion: results ""in line with both higher-order theories of consciousness and recent models of… perceptual reality monitoring"" (consistency claim, not a stated test)",,,,,True,False,False,True,True,True,False,,False,True,neutral-visual,HOT/HOSS,full text read,,experiment
P20,F20,P20-E2,P20-E2-S1,Dijkstra & Fleming 2023,10.1038/s41467-023-37322-1,2023,"Experiment 2 (online, one trial per participant)",461,339,,One-trial-per-participant imagery/perception judgements; reality threshold model (fMRI re-analysis of an earlier data set not counted as a new experiment),visual,neutral,,neutral-visual,Imagined vs presented gratings; signal strength / vividness,Reality judgements; vividness; model comparison,report,HOT — as Experiment 1 (Discussion),,,,,True,False,False,True,True,True,False,,False,True,neutral-visual,HOT/HOSS,full text read,,experiment
P21,F21,P21-E1,P21-E1-S1,Wilterson et al. 2020,10.1016/j.pneurobio.2020.101844,2020,Experiments 1–6 (cue-awareness and contingency-awareness manipulations; per-experiment partition not verifiable from abstract),not stated in abstract,28,28 analysed of 29 tested,Cued attention tasks with awareness of cue or of cue–target contingency manipulated (eight experiments per abstract),visual,neutral,,neutral-visual,None over awareness within the experiment (baseline: participants informed of the visible red cue and of the cue–target contingency); cue validity (predicted vs non-predicted side; cue location) manipulated to measure exogenous and endogenous attention,Reaction-time difference scores ΔRTX (exogenous) and ΔRTN (endogenous); accuracy,report (posttest questions on seeing the cue; task performance),"AST — named as the theory tested (Abstract, Introduction §1.1 ""Using AST to make predictions"", General discussion §25.2)",,,,,AST,False,False,True,True,True,True,No awareness manipulation or awareness measure within the experiment; it is the full-awareness baseline against which Experiments 2–4 are compared (between-experiment contrast). Candidate ancillary_experiment = True; first coder to decide,False,True,neutral-visual,AST,full text read,"Abstract reports eight experiments in total; only the abstract could be read, so the eight are carried as two blocks (1–6 and 7–8) rather than eight rows; this understates the experiment count for this publication | 25 Sep 2026 full-text reading: PARTITION CHANGE: the body reports exactly six experiments (Experiments 1–6, each with its own non-overlapping sample). The abstract’s ""six experiments"" plus ""an additional two experiments"" refers to",experiment
