theory,theory_flag,dimension_id,dimension,code,justification,citation_label,citation_doi,invariance_based_YES
AST,,C5,Task type,YES,Predicts a task-type dissociation: endogenous but not exogenous attention tasks are impaired when the cue is not consciously seen.,Wilterson et al. 2020,10.1016/j.pneurobio.2020.101844,False
AST,,C6,Stimulus (modality / category / duration / contrast),YES,"Explicitly predicts that awareness pertains to the same domains as attention, external sensory and internal information alike, an invariance claim across stimulus modality.",Webb & Graziano 2015,10.3389/fpsyg.2015.00500,True
AST,,C7,Sample / population type (healthy adults / patients / non-human / computer),IMPLICIT,Predictions are stated for healthy adults; no population-specific prediction.,Webb & Graziano 2015,10.3389/fpsyg.2015.00500,False
AST,,C8,Neuroscientific technique,IMPLICIT,fMRI is used but no technique-specific prediction is stated.,Webb et al. 2016,10.1073/pnas.1611505113,False
AST,,C9,"Dependent measure / analysis type (incl. connectivity, complexity, PHI, cardiac tags)",IMPLICIT,Behavioural attention effects and BOLD are used without a theory-specific dependent measure.,Wilterson et al. 2020,10.1016/j.pneurobio.2020.101844,False
AST,,C10,Temporal findings (component / time window),NO,No timing prediction.,Webb & Graziano 2015,10.3389/fpsyg.2015.00500,False
AST,,C11,Spatial findings (AAL3 label / lobe / stream),YES,"Motivates and tests the prediction that cortical regions track awareness independently of attention, with bilateral temporoparietal junction reported as the largest cluster.",Webb et al. 2016,10.1073/pnas.1611505113,False
AST,,C12,Frequency findings (delta–gamma bands),NO,No frequency-band prediction.,Webb & Graziano 2015,10.3389/fpsyg.2015.00500,False
Predictive processing / beast machine,,C1,Type of consciousness (content / state),IMPLICIT,Predictive processing is offered as a foundation for the NCC search while being 'not itself a theory of consciousness'; no content/state-differential prediction is stated.,Hohwy & Seth 2020,10.33735/phimisci.2020.ii.64,False
Predictive processing / beast machine,,C2,Report / no-report paradigm,IMPLICIT,No prediction indexed to report versus no-report designs.,Hohwy & Seth 2020,10.33735/phimisci.2020.ii.64,False
Predictive processing / beast machine,,C3,Consciousness measure type (objective / subjective / condition assessment / none),IMPLICIT,Compatible with subjective and objective measures; no prediction indexed to measure type.,Hohwy & Seth 2020,10.33735/phimisci.2020.ii.64,False
Predictive processing / beast machine,,C4,Experimental paradigm (family / specific),YES,Predicts that manipulations of interoceptive prediction (body-ownership and emotion paradigms) alter feeling states and selfhood.,Seth 2013,10.1016/j.tics.2013.09.007,False
Predictive processing / beast machine,,C5,Task type,IMPLICIT,No prediction indexed to task type.,Clark 2013,10.1017/s0140525x12000477,False
Predictive processing / beast machine,,C6,Stimulus (modality / category / duration / contrast),YES,"Prediction is indexed to modality: feeling states arise from inferred causes of interoceptive, not exteroceptive, afferents.",Seth 2013,10.1016/j.tics.2013.09.007,False
Predictive processing / beast machine,,C7,Sample / population type (healthy adults / patients / non-human / computer),YES,"Predicts altered body ownership and selfhood in neuropsychiatric illness, a differential prediction for patient populations.",Seth 2013,10.1016/j.tics.2013.09.007,False
Predictive processing / beast machine,,C8,Neuroscientific technique,IMPLICIT,No technique-specific prediction.,Hohwy & Seth 2020,10.33735/phimisci.2020.ii.64,False
Predictive processing / beast machine,,C9,"Dependent measure / analysis type (incl. connectivity, complexity, PHI, cardiac tags)",YES,"Autonomic reflexes are predicted to be enslaved by descending predictions, making autonomic/cardiac measures theory-relevant dependent variables.",Seth & Friston 2016,10.1098/rstb.2016.0007,False
Predictive processing / beast machine,,C10,Temporal findings (component / time window),IMPLICIT,Prediction-error timing is compatible but no consciousness-indexed time window is stated.,Hohwy & Seth 2020,10.33735/phimisci.2020.ii.64,False
Predictive processing / beast machine,,C11,Spatial findings (AAL3 label / lobe / stream),IMPLICIT,"A large-scale allostatic–interoceptive system is proposed as substrate, but no consciousness-specific localisation is stated.",Kleckner et al. 2017,10.1038/s41562-017-0069,False
Predictive processing / beast machine,,C12,Frequency findings (delta–gamma bands),IMPLICIT,"Systematic substrate–phenomenology mappings are promised, but no frequency-band prediction is stated.",Hohwy & Seth 2020,10.33735/phimisci.2020.ii.64,False
SIT (supramodular interaction theory),,C1,Type of consciousness (content / state),IMPLICIT,"Phenomenal states integrate supramodular response systems; the content/state distinction is not drawn, although anaesthesia evidence is reviewed as support for the integration consensus.","Poehlman, Jantz & Morsella 2012",10.3389/fpsyg.2012.00369,False
SIT (supramodular interaction theory),,C2,Report / no-report paradigm,IMPLICIT,Evidence rests on introspective ratings; no prediction for no-report designs.,"Morsella, Gray & Krieger 2009",10.1037/a0017121,False
SIT (supramodular interaction theory),,C3,Consciousness measure type (objective / subjective / condition assessment / none),IMPLICIT,"Subjective effects are the predicted outcome, but nothing is stated about objective measures.","Morsella, Gray & Krieger 2009",10.1037/a0017121,False
SIT (supramodular interaction theory),,C4,Experimental paradigm (family / specific),YES,"Predicts a paradigm-specific effect: sustaining incompatible skeletomotor intentions produces stronger subjective effects than compatible ones, and smooth-muscle conflict produces none.","Morsella, Gray & Krieger 2009",10.1037/a0017121,False
SIT (supramodular interaction theory),,C5,Task type,YES,"Predicts that tasks engaging conflicting skeletal-muscle plans, but not tasks involving impenetrable conflicts (pupillary reflex), change conscious experience.",Morsella 2005,10.1037/0033-295x.112.4.1000,False
SIT (supramodular interaction theory),,C6,Stimulus (modality / category / duration / contrast),YES,"Predicts that intersensory stimulus conflicts (ventriloquism, McGurk) are consciously impenetrable whereas conflicts involving skeletomotor plans are penetrable.",Morsella 2005,10.1037/0033-295x.112.4.1000,False
SIT (supramodular interaction theory),,C7,Sample / population type (healthy adults / patients / non-human / computer),IMPLICIT,Predictions are stated for healthy adults; no population-specific prediction.,"Morsella, Gray & Krieger 2009",10.1037/a0017121,False
SIT (supramodular interaction theory),,C8,Neuroscientific technique,IMPLICIT,fMRI was used to seek correlates of sustained incompatible intentions without a technique-specific prediction.,"Gray, Bargh & Morsella 2013",10.1007/s00221-013-3566-5,False
SIT (supramodular interaction theory),,C9,"Dependent measure / analysis type (incl. connectivity, complexity, PHI, cardiac tags)",IMPLICIT,Subjective ratings and BOLD are used; no theory-specific dependent measure is stated.,"Gray, Bargh & Morsella 2013",10.1007/s00221-013-3566-5,False
SIT (supramodular interaction theory),,C10,Temporal findings (component / time window),NO,No timing prediction.,Morsella 2005,10.1037/0033-295x.112.4.1000,False
SIT (supramodular interaction theory),,C11,Spatial findings (AAL3 label / lobe / stream),IMPLICIT,"Neural correlates of conscious conflict were sought with fMRI, but the theory states no a priori localisation.","Gray, Bargh & Morsella 2013",10.1007/s00221-013-3566-5,False
SIT (supramodular interaction theory),,C12,Frequency findings (delta–gamma bands),NO,No frequency-band prediction.,Morsella 2005,10.1037/0033-295x.112.4.1000,False
Passive frame theory,,C1,Type of consciousness (content / state),IMPLICIT,Consciousness serves the somatic nervous system as a frame for skeletal muscle output; the content/state distinction is not drawn.,Morsella et al. 2015,10.1017/s0140525x15000643,False
Passive frame theory,,C2,Report / no-report paradigm,NO,Report versus no-report designs are not addressed.,Morsella et al. 2015,10.1017/s0140525x15000643,False
Passive frame theory,,C3,Consciousness measure type (objective / subjective / condition assessment / none),NO,Measure type is not addressed.,Morsella et al. 2015,10.1017/s0140525x15000643,False
Passive frame theory,,C4,Experimental paradigm (family / specific),IMPLICIT,"Compatible with the conflict paradigms inherited from SIT, but the synthesis states no paradigm-indexed prediction of its own.",Morsella et al. 2015,10.1017/s0140525x15000643,False
Passive frame theory,,C5,Task type,IMPLICIT,No prediction indexed to task type.,Morsella et al. 2015,10.1017/s0140525x15000643,False
Passive frame theory,,C6,Stimulus (modality / category / duration / contrast),IMPLICIT,"Olfaction is adopted as the model modality instead of vision, but no differential prediction across modalities is stated.",Morsella et al. 2015,10.1017/s0140525x15000643,False
Passive frame theory,,C7,Sample / population type (healthy adults / patients / non-human / computer),NO,Population is not addressed.,Morsella et al. 2015,10.1017/s0140525x15000643,False
Passive frame theory,,C8,Neuroscientific technique,NO,"The theory explicitly does not address the implementation level, so no technique is predicted.","Morsella, Godwin & Jantz 2016",10.1017/s0140525x15002812,False
Passive frame theory,,C9,"Dependent measure / analysis type (incl. connectivity, complexity, PHI, cardiac tags)",NO,No dependent measure is predicted.,"Morsella, Godwin & Jantz 2016",10.1017/s0140525x15002812,False
Passive frame theory,,C10,Temporal findings (component / time window),NO,No timing prediction.,Morsella et al. 2015,10.1017/s0140525x15000643,False
Passive frame theory,,C11,Spatial findings (AAL3 label / lobe / stream),IMPLICIT,The theory claims to begin isolating neuroanatomical substrates of conscious processes while disclaiming the implementation level; no discriminating localisation is stated.,Morsella et al. 2015,10.1017/s0140525x15000643,False
Passive frame theory,,C12,Frequency findings (delta–gamma bands),NO,No frequency-band prediction.,Morsella et al. 2015,10.1017/s0140525x15000643,False
UAL,origin-level account,C1,Type of consciousness (content / state),IMPLICIT,UAL is a transition marker for the presence of subjective experience in a species; it does not address content versus state contrasts within an organism.,"Birch, Ginsburg & Jablonka 2020",10.1007/s10539-020-09772-0,False
UAL,origin-level account,C2,Report / no-report paradigm,IMPLICIT,Reported awareness is used as the criterion in the masking prediction; no prediction is stated for no-report designs.,"Birch, Ginsburg & Jablonka 2020",10.1007/s10539-020-09772-0,False
UAL,origin-level account,C3,Consciousness measure type (objective / subjective / condition assessment / none),YES,Proposes an objective behavioural learning marker in place of report-based measures for non-verbal subjects.,"Birch, Ginsburg & Jablonka 2020",10.1007/s10539-020-09772-0,False
UAL,origin-level account,C4,Experimental paradigm (family / specific),YES,Prediction (d): backward masking and related protocols that switch off conscious perception will selectively switch off UAL while leaving limited associative learning intact.,"Birch, Ginsburg & Jablonka 2020",10.1007/s10539-020-09772-0,False
UAL,origin-level account,C5,Task type,YES,"Predicts which learning tasks (trace conditioning, second-order conditioning, novel compound discrimination, reversal learning) form a correlated cluster requiring experience.","Birch, Ginsburg & Jablonka 2020",10.1007/s10539-020-09772-0,False
UAL,origin-level account,C6,Stimulus (modality / category / duration / contrast),YES,"UAL is defined over novel compound stimuli as opposed to elemental ones, so the prediction is indexed to stimulus complexity.","Birch, Ginsburg & Jablonka 2020",10.1007/s10539-020-09772-0,False
UAL,origin-level account,C7,Sample / population type (healthy adults / patients / non-human / computer),YES,"Predicts a taxonomic distribution (arthropods, cephalopods, vertebrates), and failures of UAL in blindsight patients for the blind field.","Birch, Ginsburg & Jablonka 2020",10.1007/s10539-020-09772-0,False
UAL,origin-level account,C8,Neuroscientific technique,IMPLICIT,Names 'neural signatures of subjective experience' as a third route of test without committing to a technique.,"Birch, Ginsburg & Jablonka 2020",10.1007/s10539-020-09772-0,False
UAL,origin-level account,C9,"Dependent measure / analysis type (incl. connectivity, complexity, PHI, cardiac tags)",IMPLICIT,"The dependent measure is learning performance (behavioural), not a neural measure.","Birch, Ginsburg & Jablonka 2020",10.1007/s10539-020-09772-0,False
UAL,origin-level account,C10,Temporal findings (component / time window),NO,No timing prediction.,"Birch, Ginsburg & Jablonka 2020",10.1007/s10539-020-09772-0,False
UAL,origin-level account,C11,Spatial findings (AAL3 label / lobe / stream),IMPLICIT,Predicts co-impairment of UAL elements after brain injury (e.g. hippocampal damage and trace conditioning) but does not localise the conscious substrate.,"Birch, Ginsburg & Jablonka 2020",10.1007/s10539-020-09772-0,False
UAL,origin-level account,C12,Frequency findings (delta–gamma bands),NO,No frequency-band prediction.,"Birch, Ginsburg & Jablonka 2020",10.1007/s10539-020-09772-0,False
Feinberg & Mallatt,origin-level account,C1,Type of consciousness (content / state),IMPLICIT,Sensory consciousness is treated as a capacity of species (which vertebrates have it); content versus state contrasts within an organism are not addressed.,Feinberg & Mallatt 2013,10.3389/fpsyg.2013.00667,False
Feinberg & Mallatt,origin-level account,C2,Report / no-report paradigm,NO,Report versus no-report designs are not addressed.,Feinberg & Mallatt 2013,10.3389/fpsyg.2013.00667,False
Feinberg & Mallatt,origin-level account,C3,Consciousness measure type (objective / subjective / condition assessment / none),YES,Proposes hierarchies of isomorphic (somatotopic) neural representations as an objective neuroanatomical marker for sensory consciousness in place of report.,Feinberg & Mallatt 2013,10.3389/fpsyg.2013.00667,False
Feinberg & Mallatt,origin-level account,C4,Experimental paradigm (family / specific),NO,No experimental paradigm is predicted.,Feinberg & Mallatt 2013,10.3389/fpsyg.2013.00667,False
Feinberg & Mallatt,origin-level account,C5,Task type,NO,Task type is not addressed.,Feinberg & Mallatt 2013,10.3389/fpsyg.2013.00667,False
Feinberg & Mallatt,origin-level account,C6,Stimulus (modality / category / duration / contrast),IMPLICIT,"Vision is proposed as the first conscious sense, a modality-indexed evolutionary claim rather than an experimental prediction.",Feinberg & Mallatt 2013,10.3389/fpsyg.2013.00667,False
Feinberg & Mallatt,origin-level account,C7,Sample / population type (healthy adults / patients / non-human / computer),YES,Predicts consciousness in all extant vertebrates including the lamprey and calls for studies of fish and amphibians.,Feinberg & Mallatt 2013,10.3389/fpsyg.2013.00667,False
Feinberg & Mallatt,origin-level account,C8,Neuroscientific technique,NO,No technique is predicted.,Feinberg & Mallatt 2013,10.3389/fpsyg.2013.00667,False
Feinberg & Mallatt,origin-level account,C9,"Dependent measure / analysis type (incl. connectivity, complexity, PHI, cardiac tags)",IMPLICIT,"The reticular formation is said to contribute to neural synchronisation, but no dependent measure is predicted.",Feinberg & Mallatt 2013,10.3389/fpsyg.2013.00667,False
Feinberg & Mallatt,origin-level account,C10,Temporal findings (component / time window),NO,No timing prediction.,Feinberg & Mallatt 2013,10.3389/fpsyg.2013.00667,False
Feinberg & Mallatt,origin-level account,C11,Spatial findings (AAL3 label / lobe / stream),YES,"Localises the minimum substrate to forebrain, midbrain and hindbrain with hierarchical isomorphic nuclei, the optic tectum in fish and amphibians and the dorsal pallium/cortex in mammals, reptiles and birds.",Feinberg & Mallatt 2013,10.3389/fpsyg.2013.00667,False
Feinberg & Mallatt,origin-level account,C12,Frequency findings (delta–gamma bands),NO,No frequency-band prediction.,Feinberg & Mallatt 2013,10.3389/fpsyg.2013.00667,False
