theory,quantity_id,quantity,code,prediction,citation_label,citation_doi,row_class
IIT (3.0/4.0),M5,Organism-wide coherence (cortical + autonomic),NO,No organism-wide coherence prediction; the main complex may be a cortical subset.,Albantakis et al. 2023,10.1371/journal.pcbi.1011465,trial-level
IIT (3.0/4.0),M6,Dimensionality of phenomenal space,YES,"The quality of experience is identified with the structure of distinctions and relations unfolded from the substrate — a formal claim about the geometry, hence dimensionality, of phenomenal space.",Albantakis et al. 2023,10.1371/journal.pcbi.1011465,trial-level
IIT (3.0/4.0),M7,Precision of metarepresentation,NO,Metacognitive accuracy is not a theoretical quantity; report is not required for phi.,Albantakis et al. 2023,10.1371/journal.pcbi.1011465,trial-level
IIT (3.0/4.0),M8,Cortical signature of access,YES,"Sustained posterior synchronisation within a posterior ""hot zone"" for the duration of the percept; tested and challenged by the adversarial collaboration.",Cogitate Consortium et al. 2025,10.1038/s41586-025-08888-1,trial-level
Recurrent processing (RPT),M1,N of simultaneously competing policies,NO,Phenomenality is fixed by local recurrent interaction in sensory cortex; no term for competing policies.,Lamme 2006,10.1016/j.tics.2006.09.001,trial-level
Recurrent processing (RPT),M2,Degree of incompatibility between policies,NO,No prediction over conflict magnitude.,Lamme 2006,10.1016/j.tics.2006.09.001,trial-level
Recurrent processing (RPT),M3,Valence of conscious content,NO,"Recurrence is specified over feedforward/feedback sensory sweeps, indifferent to content valence.",Lamme & Roelfsema 2000,10.1016/s0166-2236(00)01657-x,trial-level
Recurrent processing (RPT),M4,Autonomic / interoceptive channel involvement,NO,Theory is formulated for sensory (chiefly visual) cortex.,Lamme 2006,10.1016/j.tics.2006.09.001,trial-level
Recurrent processing (RPT),M5,Organism-wide coherence (cortical + autonomic),NO,Explicitly denies that global availability is required for phenomenality.,Lamme 2006,10.1016/j.tics.2006.09.001,trial-level
Recurrent processing (RPT),M6,Dimensionality of phenomenal space,NO,No dimensionality claim.,Lamme 2006,10.1016/j.tics.2006.09.001,trial-level
Recurrent processing (RPT),M7,Precision of metarepresentation,NO,Report and metacognition are downstream of phenomenality by design.,Lamme 2006,10.1016/j.tics.2006.09.001,trial-level
Recurrent processing (RPT),M8,Cortical signature of access,YES,"Local recurrent processing in sensory areas, ~100-200 ms; dissociable from the late global signature.",Lamme & Roelfsema 2000,10.1016/s0166-2236(00)01657-x,trial-level
HOT / HOSS,M1,N of simultaneously competing policies,NO,"Higher-order state space is defined over perceptual generative models, not over action policies.",Fleming 2020,10.1093/nc/niz020,trial-level
HOT / HOSS,M2,Degree of incompatibility between policies,NO,No conflict-magnitude term.,Fleming 2020,10.1093/nc/niz020,trial-level
HOT / HOSS,M3,Valence of conscious content,IMPLICIT,"Higher-order theory has been extended to emotional consciousness, but the extension asserts a common higher-order mechanism rather than predicting differential access thresholds for valenced content.",LeDoux & Brown 2017,10.1073/pnas.1619316114,trial-level
HOT / HOSS,M4,Autonomic / interoceptive channel involvement,IMPLICIT,"LeDoux and Brown route bodily/survival-circuit signals into higher-order representation, without quantitative predictions on autonomic recruitment.",LeDoux & Brown 2017,10.1073/pnas.1619316114,trial-level
HOT / HOSS,M5,Organism-wide coherence (cortical + autonomic),NO,Awareness is local and prefrontal; no organism-wide coherence claim.,Fleming 2020,10.1093/nc/niz020,trial-level
HOT / HOSS,M6,Dimensionality of phenomenal space,YES,HOSS makes the sharp claim that the awareness state is low-dimensional — a 1D continuum from absent to present — nested asymmetrically above a high-dimensional perceptual space.,Fleming 2020,10.1093/nc/niz020,trial-level
HOT / HOSS,M7,Precision of metarepresentation,YES,"Core measurable: metacognitive sensitivity/efficiency (meta-d prime), calibration of confidence, and its dissociation from first-order performance.",Maniscalco & Lau 2012,10.1016/j.concog.2011.09.021,trial-level
HOT / HOSS,M8,Cortical signature of access,YES,Prefrontal involvement in awareness reports; global ignition reproduced as a consequence of asymmetric state-space inference.,Fleming 2020,10.1093/nc/niz020,trial-level
AST,M1,N of simultaneously competing policies,NO,Awareness is a schematic model of attention; competing policies are not represented.,Graziano & Webb 2015,10.3389/fpsyg.2015.00500,trial-level
AST,M2,Degree of incompatibility between policies,NO,No conflict term.,Graziano & Webb 2015,10.3389/fpsyg.2015.00500,trial-level
AST,M3,Valence of conscious content,NO,"The attention schema models attentional state, not valence.",Graziano & Webb 2015,10.3389/fpsyg.2015.00500,trial-level
AST,M4,Autonomic / interoceptive channel involvement,NO,"Formulated over attentional and body schemas, not visceral regulation.",Graziano & Webb 2015,10.3389/fpsyg.2015.00500,trial-level
AST,M5,Organism-wide coherence (cortical + autonomic),NO,No organism-wide coherence prediction.,Graziano & Webb 2015,10.3389/fpsyg.2015.00500,trial-level
AST,M6,Dimensionality of phenomenal space,IMPLICIT,"The schema is explicitly simplified and non-physical, implying low dimensionality, but no dimensionality is measured or predicted.",Graziano & Webb 2015,10.3389/fpsyg.2015.00500,trial-level
AST,M7,Precision of metarepresentation,IMPLICIT,Predicts systematic inaccuracy of the schema; accuracy of introspection is a consequence rather than a quantified predictor.,Wilterson et al. 2020,10.1016/j.pneurobio.2020.101844,trial-level
AST,M8,Cortical signature of access,YES,Temporo-parietal junction and superior temporal sulcus as substrate of the attention schema; causal manipulations predicted to disrupt awareness.,Wilterson et al. 2020,10.1016/j.pneurobio.2020.101844,trial-level
Predictive processing / beast machine,M1,N of simultaneously competing policies,NO,Precision-weighted prediction error is the currency; policy cardinality is not a predictor of access.,Clark 2013,10.1017/s0140525x12000477,trial-level
Predictive processing / beast machine,M2,Degree of incompatibility between policies,IMPLICIT,"Policy selection appears as active inference over competing policies, but the consciousness-relevant predictions are about inference, not about how many policies compete.","Pezzulo, Rigoli & Friston 2018",10.1016/j.tics.2018.01.009,trial-level
Predictive processing / beast machine,M3,Valence of conscious content,YES,"Valence is derived: emotion is interoceptive inference, and valence has been formally linked to the rate of change of free energy.",Joffily & Coricelli 2013,10.1371/journal.pcbi.1003094,trial-level
Predictive processing / beast machine,M4,Autonomic / interoceptive channel involvement,YES,"Central and distinctive: interoceptive and autonomic channels are the substrate of emotion and embodied selfhood, with allostatic regulation as the control objective.",Seth & Friston 2016,10.1098/rstb.2016.0007,trial-level
Predictive processing / beast machine,M5,Organism-wide coherence (cortical + autonomic),IMPLICIT,"Allostasis is organism-wide and a large-scale interoceptive-allostatic system has been identified, but no joint cortical-autonomic metric is proposed as a criterion of conscious access.",Kleckner et al. 2017,10.1038/s41562-017-0069,trial-level
Predictive processing / beast machine,M6,Dimensionality of phenomenal space,IMPLICIT,Experience as compressed inference implies dimensionality reduction; no quantitative prediction of phenomenal dimensionality.,Seth & Tsakiris 2018,10.1016/j.tics.2018.08.008,trial-level
Predictive processing / beast machine,M7,Precision of metarepresentation,YES,"Precision (inverse variance) is the theory's own control parameter, and interoceptive accuracy is dissociated from interoceptive awareness/sensibility.",Garfinkel et al. 2015,10.1016/j.biopsycho.2014.11.004,trial-level
Predictive processing / beast machine,M8,Cortical signature of access,IMPLICIT,Offers a systematic basis for identifying neural correlates but does not commit to a single cortical access signature.,Hohwy & Seth 2020,10.33735/phimisci.2020.ii.64,trial-level
Supramodular interaction theory (SIT),M1,N of simultaneously competing policies,YES,"PRISM: phenomenal states are required when multiple supramodular systems send simultaneous, competing inclinations to the skeletomotor output system — the number of concurrent inclinations is the theory's own trigger variable.",Morsella 2005,10.1037/0033-295x.112.4.1000,trial-level
Supramodular interaction theory (SIT),M2,Degree of incompatibility between policies,YES,Directly measured: merely sustaining incompatible skeletomotor intentions in a motionless state produces stronger subjective effects than compatible intentions.,"Morsella, Gray & Krieger 2009",10.1037/a0017121,trial-level
Supramodular interaction theory (SIT),M3,Valence of conscious content,IMPLICIT,"Conscious conflict is described as having affective consequences and is linked to failures of self-control, but valence of content is not itself a predictor of access.","Morsella, Gray & Krieger 2009",10.1037/a0017121,trial-level
Supramodular interaction theory (SIT),M4,Autonomic / interoceptive channel involvement,YES (negative),"A sharp, testable negative: conflict in a smooth-muscle effector (pupillary light reflex) produces no comparable change in conscious experience; phenomenal states serve skeletomotor integration only.","Morsella, Gray & Krieger 2009",10.1037/a0017121,trial-level
Supramodular interaction theory (SIT),M5,Organism-wide coherence (cortical + autonomic),NO,Phenomenal states integrate systems competing for skeletal muscle; no organism-wide coherence measure including autonomic channels is proposed.,Morsella 2005,10.1037/0033-295x.112.4.1000,trial-level
Supramodular interaction theory (SIT),M6,Dimensionality of phenomenal space,NO,No dimensionality prediction.,Morsella 2005,10.1037/0033-295x.112.4.1000,trial-level
Supramodular interaction theory (SIT),M7,Precision of metarepresentation,NO,Integration is stated as co-presence of contents; metarepresentational precision plays no role.,Morsella 2005,10.1037/0033-295x.112.4.1000,trial-level
Supramodular interaction theory (SIT),M8,Cortical signature of access,IMPLICIT,"Subjective conflict from sustained incompatible intentions was associated with left postcentral (somatosensory) cortex; a candidate substrate is named, but no discriminating cortical access signature is staked.","Gray, Bargh & Morsella 2013",10.1007/s00221-013-3566-5,trial-level
Passive frame theory,M1,N of simultaneously competing policies,IMPLICIT,"The function of the conscious field is still stated as integration of multiple skeletomotor inclinations, but the passive-frame formulation makes no trial-level prediction from their number: the field presents contents whether one or many inclinations are present.",Morsella et al. 2015,10.1017/s0140525x15000643,trial-level
Passive frame theory,M2,Degree of incompatibility between policies,IMPLICIT,"Incompatibility is what downstream systems resolve using the field's contents, but the field is stated to operate blindly whether or not conflict is present, so incompatibility is no longer a predictor of access (cf. §4).","Heredia Cedillo, Lambert & Morsella 2024",10.3390/bs14040337,trial-level
Passive frame theory,M3,Valence of conscious content,IMPLICIT,The reply to commentators accepts that affective contents enter the field but states no valence-dependent access prediction.,"Morsella, Godwin & Jantz 2016",10.1017/s0140525x15002812,trial-level
Passive frame theory,M4,Autonomic / interoceptive channel involvement,YES (negative),"Consciousness serves the somatic nervous system: it is a frame that constrains and directs skeletal-muscle output, and conflicts without a skeletomotor plan are stated to lie outside it.",Morsella et al. 2015,10.1017/s0140525x15000643,trial-level
Passive frame theory,M5,Organism-wide coherence (cortical + autonomic),NO,The frame is scoped to skeletal-muscle output; no organism-wide cortical–autonomic coherence variable is proposed.,Morsella et al. 2015,10.1017/s0140525x15000643,trial-level
Passive frame theory,M6,Dimensionality of phenomenal space,NO,No dimensionality prediction; the field is described as low-level and unintelligent.,Morsella et al. 2015,10.1017/s0140525x15000643,trial-level
Passive frame theory,M7,Precision of metarepresentation,NO,"The frame is passive: contents are presented without being evaluated, so metarepresentational precision plays no role.",Morsella et al. 2015,10.1017/s0140525x15000643,trial-level
Passive frame theory,M8,Cortical signature of access,NO,The theory explicitly declines the implementation level — how neurons produce conscious states is not part of the account — so no cortical signature of access is stated.,"Morsella, Godwin & Jantz 2016",10.1017/s0140525x15002812,trial-level
Neural subjective frame,M1,N of simultaneously competing policies,NO,No statement relates access to the number of competing action policies.,Park & Tallon-Baudry 2014,10.1098/rstb.2013.0208,trial-level
Neural subjective frame,M2,Degree of incompatibility between policies,NO,Policy incompatibility is not a variable in the proposal.,Park & Tallon-Baudry 2014,10.1098/rstb.2013.0208,trial-level
Neural subjective frame,M3,Valence of conscious content,IMPLICIT,"The frame could also underlie emotional feelings and vmPFC heartbeat-evoked responses contribute to preference-based decisions, but no valence-dependent access prediction is stated.",Azzalini et al. 2021,10.1523/jneurosci.1932-20.2021,trial-level
Neural subjective frame,M4,Autonomic / interoceptive channel involvement,YES,"Neural monitoring of cardiac (and gastric) input is the stated generator of first-person perspective, and pre-stimulus heartbeat-evoked responses predict detection.",Park et al. 2014,10.1038/nn.3671,trial-level
Neural subjective frame,M5,Organism-wide coherence (cortical + autonomic),IMPLICIT,"A cortical response to one visceral signal predicts access, independently of measured bodily state; no organism-wide joint cortical–autonomic metric is specified.",Tallon-Baudry et al. 2018,10.1016/j.cortex.2017.05.019,trial-level
Neural subjective frame,M6,Dimensionality of phenomenal space,IMPLICIT,"The dimensionality and topology of subjective experience are posed as open questions, without a quantitative prediction.",Tallon-Baudry 2022,10.1016/j.tics.2022.09.002,trial-level
Neural subjective frame,M7,Precision of metarepresentation,NO,The frame is a low-level building block not explicitly experienced by itself; no claim about metarepresentational precision.,Park & Tallon-Baudry 2014,10.1098/rstb.2013.0208,trial-level
Neural subjective frame,M8,Cortical signature of access,IMPLICIT,"Pre-stimulus heartbeat-evoked response amplitude in right inferior parietal and ventral anterior cingulate cortex is a stated cortical predictor of detection, framed as a precondition rather than as the signature of access itself.",Park et al. 2014,10.1038/nn.3671,trial-level
UAL,M1,N of simultaneously competing policies,NO,"The transition marker is a learning capacity, not an arbitration load.","Birch, Ginsburg & Jablonka 2020",10.1007/s10539-020-09772-0,origin-level
UAL,M2,Degree of incompatibility between policies,NO,No incompatibility term.,"Birch, Ginsburg & Jablonka 2020",10.1007/s10539-020-09772-0,origin-level
UAL,M3,Valence of conscious content,YES,Valence is one of the constitutive hallmarks of the UAL profile: learning must be reinforceable by positive and negative evaluation of stimuli.,"Birch, Ginsburg & Jablonka 2020",10.1007/s10539-020-09772-0,origin-level
UAL,M4,Autonomic / interoceptive channel involvement,IMPLICIT,Embodiment and global accessibility are hallmarks; visceral channels are not separately predicted.,"Birch, Ginsburg & Jablonka 2020",10.1007/s10539-020-09772-0,origin-level
UAL,M5,Organism-wide coherence (cortical + autonomic),IMPLICIT,"""Global accessibility"" and integration across the organism are hallmarks, but not operationalised as a joint cortical-autonomic measurement.","Birch, Ginsburg & Jablonka 2020",10.1007/s10539-020-09772-0,origin-level
UAL,M6,Dimensionality of phenomenal space,NO,No dimensionality prediction.,"Birch, Ginsburg & Jablonka 2020",10.1007/s10539-020-09772-0,origin-level
UAL,M7,Precision of metarepresentation,NO,No metacognitive-precision prediction.,"Birch, Ginsburg & Jablonka 2020",10.1007/s10539-020-09772-0,origin-level
UAL,M8,Cortical signature of access,NO,Deliberately substrate-neutral and comparative; no cortical signature.,"Birch, Ginsburg & Jablonka 2020",10.1007/s10539-020-09772-0,origin-level
Feinberg & Mallatt,M1,N of simultaneously competing policies,NO,"The threshold is the appearance of isomorphic neural maps of one body/world, not arbitration load.",Feinberg & Mallatt 2013,10.3389/fpsyg.2013.00667,origin-level
Feinberg & Mallatt,M2,Degree of incompatibility between policies,NO,No incompatibility term.,Feinberg & Mallatt 2013,10.3389/fpsyg.2013.00667,origin-level
Feinberg & Mallatt,M3,Valence of conscious content,YES,"Affective consciousness is treated as a distinct and possibly earlier kind than exteroceptive image-based consciousness, with nociceptive/valenced states as its content.",Feinberg & Mallatt 2013,10.3389/fpsyg.2013.00667,origin-level
Feinberg & Mallatt,M4,Autonomic / interoceptive channel involvement,YES,Interoceptive and nociceptive channels are constitutive of affective consciousness in their scheme.,Feinberg & Mallatt 2013,10.3389/fpsyg.2013.00667,origin-level
Feinberg & Mallatt,M5,Organism-wide coherence (cortical + autonomic),IMPLICIT,Emphasises unified representation of one body but proposes no organism-wide coherence measure.,Feinberg & Mallatt 2013,10.3389/fpsyg.2013.00667,origin-level
Feinberg & Mallatt,M6,Dimensionality of phenomenal space,NO,No dimensionality prediction.,Feinberg & Mallatt 2013,10.3389/fpsyg.2013.00667,origin-level
Feinberg & Mallatt,M7,Precision of metarepresentation,NO,No metacognitive-precision prediction.,Feinberg & Mallatt 2013,10.3389/fpsyg.2013.00667,origin-level
Feinberg & Mallatt,M8,Cortical signature of access,IMPLICIT,"Names neuroanatomical prerequisites (hierarchical maps, reciprocal connectivity) rather than an access signature in humans.",Feinberg & Mallatt 2013,10.3389/fpsyg.2013.00667,origin-level
