id,theory_id,theory,quantity_id,draft_id,draft_quantity_id,source_label,source_doi,source_locus,evidence_status,condition,manipulation_or_contrast,outcome_measure,relation,expected_result,locus_prediction,timing_prediction,distribution_prediction,auxiliary_assumptions,status,test_status,published_author_statement,explicit_endorsement_of_this_test,distinguishable_from,distinguishing_feature,distinguishability_confidence,opposed_by,notes
P11,HOT,Higher-order theory (HOT / HOROR),M7,P11,M7,"Maniscalco & Lau 2012; Lau & Rosenthal 2011; Brown, Lau & LeDoux 2019",10.1016/j.concog.2011.09.021; 10.1016/j.tics.2011.05.009; 10.1016/j.tics.2019.06.009,"Maniscalco & Lau 2012, abstract (meta-d prime); Brown, Lau & LeDoux 2019, abstract (consciousness not equated with metacognition or confidence)",abstract-only,confidence-rated discrimination,first-order vs second-order performance,meta-d′ / metacognitive efficiency and its dissociation from d′,index / marker,metacognitive sensitivity dissociates from first-order performance and tracks awareness,not stated (prefrontal higher-order representation),not stated,meta-d prime dissociates from d prime and tracks awareness; not an identity claim,confidence ratings reflect the higher-order representation,stated,,yes,no,,"NOT distinguishable from P15, P28: same sign (dissociation of metacognitive from first-order measures); no differing locus/timing stated",,,
P12,AST,AST,M8,P12,M8,Kelly et al. 2014; Webb & Graziano 2015; Wilterson et al. 2020,10.1073/pnas.1401201111; 10.3389/fpsyg.2015.00500; 10.1016/j.pneurobio.2020.101844,"Kelly et al. 2014, abstract (bilateral TPJ during awareness attribution; TMS to those sites impairs visual detection); Webb & Graziano 2015 p. 4 (neglect); Wilterson et al. 2020 abstract (six experiments: endogenous attention impaired without awareness of the cue)",abstract-only,attention-control tasks with and without awareness of the cue,awareness of a stimulus with attention held or removed,temporo-parietal junction / attention-control network activity; attention-control deficits without awareness,locus; sufficiency,TPJ/STS substrate; causal disruption impairs awareness attributions; attention can be controlled without awareness but less well,temporo-parietal junction (bilateral); attention-control network,not stated,TPJ disruption -> neglect-like detection loss; attention control without awareness possible but impaired,"the schema is the model of attention, not attention itself",stated,,yes,no,P01; P04; P08; P09,P09: locus (dlPFC vs TPJ) | P01: locus (TPJ vs PFC) | P04: locus (TPJ vs posterior hot zone) | P08: locus (TPJ vs visual cortex),2,,the TPJ/STS locus is not stated in Webb & Graziano 2015 or Wilterson et al. 2020 as read; Kelly et al. 2014 is the locus source
P13,PP,Predictive processing / beast machine,M3,P13,M3,Seth 2013; Joffily & Coricelli 2013,10.1371/journal.pcbi.1003094,"Joffily & Coricelli 2013, abstract (valence = negative rate of change of free energy); Seth 2013, abstract",abstract-only,any regulated agent,rate of change of interoceptive prediction error / free energy,felt valence,derivation / identity,valence tracks the rate of change of free energy; positive when error decreases,not stated,valence tracks the time-derivative of free energy,"positive when prediction error decreases, negative when it increases","the formal model is a proposal, not a result",stated,,yes,no,,"NOT distinguishable from P21, P22: same sign; origin-level vs trial-level, no opposed prediction",,,
P14,PP,Predictive processing / beast machine,M4a,P14,M4a,Seth & Friston 2016; Seth 2013,10.1098/rstb.2016.0007,"Seth & Friston 2016, Section 3 (emotional content determined by beliefs about the causes of interoceptive signals) and Section 5 (feeling states as the joint content of interoceptive predictions; key prediction iii); Seth 2013 abstract",full-text,interoceptive and emotional experience,interoceptive predictions and their precision,felt emotion and embodied selfhood; what is felt,modulation / constitution,visceral channels are constitutive of feeling; interoceptive precision gates what is felt,"visceromotor agranular cortices (AIC, ACC, subgenual, OFC) at the top of the interoceptive hierarchy (Section 4 of Seth & Friston 2016)",not stated,affective content depends on interoceptive predictions rather than prediction errors (key prediction iii),emotion is the content of interoceptive inference,stated,,yes,no,,NOT distinguishable from P26: same sign (constitution); trial-level vs lineage level,,,
P15,PP,Predictive processing / beast machine,M7,P15,M7,Garfinkel et al. 2015; Seth & Friston 2016,10.1016/j.biopsycho.2014.11.004,"Garfinkel et al. 2015, abstract (accuracy, sensibility and metacognitive awareness dissociable); Seth & Friston 2016 Section 2 (precision)",abstract-only,heartbeat detection / tracking,interoceptive accuracy vs interoceptive awareness (metacognitive),dissociation of accuracy from awareness,index / marker,precision of the higher-level representation dissociates from first-order interoceptive accuracy,not stated,not stated,interoceptive metacognitive awareness only partly predicted by accuracy,the three-level model of interoception,interpreted,,no (coder inference; see S1 flag PP x M7),no,,"NOT distinguishable from P11, P28: same sign; different content domain (interoceptive) but no opposed prediction",,,"25 Sep 2026: S1 cell PP x M7 re-coded EXPLICIT to INTERPRETED after full-text reading (Garfinkel 2015 names a metacognitive operationalisation of interoceptive awareness, not conscious access; Seth & Friston 2016 state precision as a control parameter without linking it to presence of experience); kept for provenance, excluded from the stated count"
P16,SIT,Supramodular interaction theory (SIT),M1,P16,M1,Morsella 2005; Morsella et al. 2015,10.1037/0033-295x.112.4.1000,"Morsella 2005, abstract (PRISM); Morsella et al. 2016 BBS Section 2.4 (p. 5) - conscious conflicts as competition for the skeletomotor output system",abstract-only,multiple supramodular systems active at once,one vs two or more simultaneous inclinations directed at the skeletomotor output system,phenomenal involvement (conscious conflict),trigger / threshold — not a monotonic count effect,conscious involvement when ≥ 2 inclinations arrive at the output system; no stated increase with further inclinations,not stated (skeletomotor output system as the locus of integration),not stated,threshold: conscious involvement when >= 2 inclinations converge; no stated increase beyond two,"integration, not selection, is the function",stated,,yes,no,,,,,a linear trend over 1/2/3 policies is NOT what P16 predicts; the theory-relevant contrast is 1 vs ≥ 2
P17,SIT,Supramodular interaction theory (SIT),M2,P17,M2,"Morsella, Gray, Krieger & Bargh 2009",10.1037/a0017121,"Morsella, Gray, Krieger & Bargh 2009, Studies 1-2 (arm and finger effectors), activity ratings for incompatible vs compatible intentions",full-text,motionless participants sustaining two skeletomotor intentions,incompatible vs compatible intention pairs,subjective urge-to-err ratings (report-based),effect,stronger subjective conflict for incompatible pairs; t(13) = 6.21,not stated,during sustained intention (motionless),stronger subjective activity for incompatible pairs in both effector systems,introspective ratings index the phenomenal state,stated,stated and measured,yes,no,,,,,"the outcome is experienced conflict, not access to a stimulus"
P18,SIT,Supramodular interaction theory (SIT),M4c,P18,M4b,"Morsella, Gray, Krieger & Bargh 2009; Morsella 2005",10.1037/a0017121,"Morsella et al. 2009, smooth-muscle comparison study (pupillary light reflex, conflict vs no conflict, n = 14, t(13) = 0.90, p = .385, Appendix II; support called ""initial (but far from conclusive)""); Morsella 2005 abstract (impenetrable conflicts)",full-text,conflict within a smooth-muscle effector (pupillary light reflex) without a skeletomotor plan,smooth-muscle vs skeletomotor conflict,subjective conflict ratings,effect (stated null); scope,no comparable subjective effect; such conflicts are introspectively impenetrable,not stated,not stated,no increase in reported activity under smooth-muscle conflict (stated null),the control condition is comparable in magnitude to the skeletomotor conflict,stated,stated and measured,yes,no,,"NOT distinguishable from P19: same sign (stated null); P24 is derived (pending) and is listed under opposed_by, not as a stated distinguishable prediction",,"P24 (derived, pending)","stated null for experienced conflict / exclusion from the field's function, not a denial of bodily feelings; domain re-assigned from M4b (draft) to M4c per the domains manifest"
P19,PFT,Passive frame theory,M4c,P19,M4b,Morsella et al. 2015,10.1017/s0140525x15000643,"Morsella, Godwin et al. 2016 BBS, Section 2.4 (p. 5: smooth-muscle integrations can occur unconsciously; conflicts at action selection are experienced consciously, conflicts at perceptual stages are not); endnote 8 (p. 16)",full-text,conflicts resolved without a skeletomotor plan,skeletomotor vs non-skeletomotor conflict,engagement of the conscious field,scope (stated exclusion),the field serves the somatic nervous system; smooth-muscle integration proceeds without it,not stated (theory declines the implementation level),not stated,the conscious field is not engaged by smooth-muscle conflict (scope exclusion),"§2.4 concerns integration, not the presence of bodily feelings",stated,,yes,no,,"NOT distinguishable from P18: same sign (stated null); P24 derived, pending",,"P24 (derived, pending)","stated null for experienced conflict / exclusion from the field's function, not a denial of bodily feelings; domain re-assigned from M4b (draft) to M4c per the domains manifest"
P20,NSF,Neural subjective frame,M4b,P20,M4a,"Park, Correia, Ducorps & Tallon-Baudry 2014; Tallon-Baudry et al. 2018; Park & Tallon-Baudry 2014",10.1038/nn.3671; 10.1016/j.cortex.2017.05.019; 10.1098/rstb.2013.0208,"Park et al. 2014, abstract (pre-stimulus heartbeat-locked events in rIPL and vACC predict detection; not explained by bodily parameters or excitability); Tallon-Baudry et al. 2018, abstract (specific role in conscious perception, distinct from attention)",abstract-only,near-threshold visual detection,pre-stimulus heartbeat-evoked response amplitude (hits vs misses),detection of an exteroceptive stimulus,modulation,"larger pre-stimulus HER predicts detection, independently of cardiac parameters and alpha power",right inferior parietal lobule; ventral anterior cingulate cortex,pre-stimulus (heartbeat-evoked response before onset),larger pre-stimulus HER -> higher detection; effect size comparable to spatial attention; independent of cardiac parameters and alpha power,"HER indexes cortical monitoring of visceral input, not arousal",stated,stated and measured,yes,no,,"NOT distinguishable from P27: same sign; PP states no locus/timing as prediction, so no differing prediction can be written",,,"domain re-assigned from M4a (draft) to M4b per the domains manifest; the outcome is access to visual content, not access to interoceptive content"
P21,FM,Feinberg & Mallatt,M3,P21,M3 / M4a,Feinberg & Mallatt 2013,10.3389/fpsyg.2013.00667,"Feinberg & Mallatt 2013, p. 8 (pain as multidimensional: somatosensory, affective, homeostatic); tripartite scheme in Feinberg & Mallatt 2016 (book, not read)",full-text,vertebrate lineages with mapped sensory and homeostatic pathways,presence of the pathways across lineages,affective and interoceptive consciousness as kinds,marker (lineage level),affective/interoceptive consciousness present where the pathways are,subpallial/brainstem affective circuits (lineage level; not a human access locus),not applicable (origin-level),affective consciousness present wherever the homeostatic pathways are,comparative-anatomical inference,stated,,yes,no,,"NOT distinguishable from P13, P22: same sign, lineage level",,,"draft row covered ""M3 / M4a""; M4a part moved to P26"
P22,UAL,UAL,M3,P22,M3,"Birch, Ginsburg & Jablonka 2020",10.1007/s10539-020-09772-0,"Birch, Ginsburg & Jablonka 2020, Part I hallmark 6 (evaluative system), Table 1 (pp. 5-6)",full-text,learning systems across taxa,reinforceability by positive and negative evaluation,valence as a hallmark of the UAL profile,marker (lineage level),organisms with UAL have valenced states,not applicable (origin-level),not applicable (origin-level),organisms with UAL have valenced states,"UAL is a marker, not a definition, of consciousness",stated,,yes,no,,"NOT distinguishable from P13, P21: same sign, lineage level",,,
P23,AUTHORS,"(authors, derived)",M2,P23,M2,"this manuscript §9.1; Supplementary Protocol S5.2, S5.12",—,"author-derived in one step from P16 (Morsella 2005, abstract; Morsella et al. 2016 BBS §2.4): the same condition (incompatible intentions directed at the skeletomotor output system), a different outcome (access to the masked target that licenses them, instead of experienced conflict)",full-text,"masked visual target licensing three policies at count 3; 0, 1 or 3 pairs of demanded responses share a lever (incompatible intentions); load matched","incompatibility of the licensed policies: 0 vs mean of 1 and 3 shared effector pairs at count 3 (contrast C1a, weights -1, 0.5, 0.5)","report-independent access to the target (EEG access index, session 2 no-report; PAS-report version on session-1 ratings)",effect,access rises with incompatibility at matched count and load,not stated,not stated,"access higher at 1 and 3 shared pairs than at 0 shared pairs, at count 3",the one auxiliary step: the mechanism that produces experienced conflict under incompatible intentions (P16) also raises access to the content that licenses them; holding a rule in force under a block-wise effector mapping counts as an inclination directed at the skeletomotor output system,derived,"the single confirmatory contrast C1a of Study 1 (protocol v3); alpha 0.05, no multiplicity correction; two-version rule (EEG index and PAS report both significant in the predicted direction); not endorsed by SIT proponents",no (author-derived),no,,,,,"revision 1 v6: worded as a ONE-STEP derivation from P16 (same condition, different outcome), not as an extension of or a test of P16; the stated P16 is tested on its own variable by P35. A null constrains this derivation within the preregistered bound (+/-0.30 dz); it does not falsify SIT"
P24,AUTHORS,"(authors, derived)",M4c,P24,M4b,this manuscript §7.4 / §9,—,author-derived from the interoceptive-inference mechanism,full-text,"conflict resolved wholly by autonomic effectors, no skeletomotor plan",autonomic antagonism present vs absent,an experienced feeling / access to interoceptive content,sufficiency,unresolved interoceptive prediction error yields a feeling,not stated,not stated,a feeling accompanies unresolved autonomic antagonism,hierarchical propagation of interoceptive prediction error,derived,derived - pending endorsement by proponents,no (author-derived),pending (query drafted),,,,"P18, P19","domain re-assigned from M4b (draft) to M4c; if endorsed, M4c would become the first contested column outside M8 with a shared condition and outcome. NB Seth & Friston 2016 key prediction (iii) assigns affective content to predictions rather than prediction errors, so the derivation needs an auxiliary assumption."
P25,AUTHORS,"(authors, derived)",M1,P25,M1,"this manuscript §9, §9.1; Supplementary Protocol S5.2, S5.12",—,derived with an auxiliary assumption GNWT has not made,full-text,"masked visual target licensing 1, 2 or 3 co-executable policies (0 shared effector pairs), no-report","number of policies in force: 1 vs mean of 2 and 3 (contrast C0, weights -1, 0.5, 0.5); P25 predicts the NEGATIVE sign",report-independent access to the target (EEG access index; PAS-report version),"effect (negative, via load)",more competing policies degrade access: C0 negative,not stated,not stated,monotone decrement over 1/2/3 policies; C0 negative,workspace capacity is limited,derived,ESTIMATION (protocol v3): C0 reported two-sided with 0.95 interval; the sign is read against P32 (positive) and P25 (negative); no confirmatory test,no (author-derived),pending (query drafted),,,,,"recorded so the load control of §9.1 is traceable; revision 1 v6: the count branch is an estimate, not a test, because P32 and P25 predict opposite signs on the same contrast and neither is stated by its source; the nuisance account ""more levers in force -> more access"" also predicts a positive C0 and a negative C1a, which is why the estimate is kept"
P26,FM,Feinberg & Mallatt,M4a,,M3 / M4a (part of draft P21),Feinberg & Mallatt 2013; Feinberg & Mallatt 2016 (book),10.3389/fpsyg.2013.00667; 10.7551/mitpress/10714.001.0001,Feinberg & Mallatt 2013 p. 8 and p. 10 (interoceptive aspects of pain via insula); interoceptive consciousness as a category in the 2016 book (not read),secondary,vertebrate lineages with mapped interoceptive/homeostatic pathways,presence of the pathways across lineages,interoceptive consciousness as a kind,constitution (lineage level),interoceptive content is a conscious kind wherever the pathways are,"insula (human), homeostatic pathways (lineage level)",not applicable (origin-level),interoceptive consciousness present where the pathways are,comparative-anatomical inference,stated,,yes,no,,NOT distinguishable from P14: same sign; lineage level,,,split from draft P21; the EXPLICIT code for the 2016 tripartition rests on a source not read in this pass (see S1 v2 flag)
P27,PP,Predictive processing / beast machine,M4b,,,Seth & Friston 2016,10.1098/rstb.2016.0007,"Section 5 Concluding remarks (""interoceptive signalling shapes experiences of self, and also of perceptions of stimuli originating from the external environment (e.g. [94, 95])"")",full-text,exteroceptive detection/discrimination with concurrent interoceptive signalling (e.g. cardiac phase),interoceptive signal phase or precision,awareness of exteroceptive stimuli,modulation,interoceptive signalling modulates perception of external stimuli,not stated as prediction (insula cited via Salomon et al. 2016),not stated,not stated,the sentence reviews evidence; the listed key predictions (i)-(iii) do not include exteroceptive modulation,interpreted,,no (coder inference from reviewed evidence; see S1 flag),no,,NOT distinguishable from P20: same sign; no stated locus/timing on the PP side,,,"flagged in S1 v2: reads as INTERPRETED under the YES-vs-IMPLICIT boundary rule; first-coder code (YES) kept | 24 Sep 2026: S1 cell PP×M4b re-coded EXPLICIT→INTERPRETED (the Section 5 sentence reports reviewed evidence, not a framework prediction); this row is kept for provenance with status 'interpreted' and is excluded from the stated-prediction count."
P28,HOSS,Higher-order state space (HOSS),M7,,,Fleming 2020,10.1093/nc/niz020,"abstract (""awareness reports as metacognitive decisions (inference) about a generative model of perceptual content""); Section 4 Model, Figure 4 (confidence in identity vs inference on presence)",full-text,detection/discrimination with awareness and confidence reports,stimulus evidence vs awareness judgement vs identity confidence,awareness reports modelled as higher-order inference; confidence in identity,marker,awareness report is a metacognitive inference; graded identity confidence can occur without a report of presence,"higher level of the hierarchy (prefrontal, Section 5)",not stated,dissociation between confidence in content and inference on presence (Figure 4),the generative model architecture of Section 4,stated,,yes,no,,"NOT distinguishable from P11, P15: same sign; HOSS derives the same dissociation",,,split from merged draft P11
P29,HOSS,Higher-order state space (HOSS),M8,,,Fleming 2020,10.1093/nc/niz020,Section 4.1 Simulations (K-L divergence of the awareness state reproduces global ignition for presence); Section 5 Empirical predictions (symmetric encoding of presence and absence in LPFC/anterior PFC; asymmetric ignition for presence),full-text,near-threshold detection with reports of presence and absence,report of presence vs report of absence (vs intermediate visibility),frontoparietal ignition; prefrontal decoding of the awareness state,marker,global ignition for presence but not absence; PFC encodes presence and absence symmetrically,lateral / anterior prefrontal cortex (awareness state); widespread frontoparietal network (ignition),not stated,asymmetric: ignition-like response for presence reports; symmetric PFC coding of presence and absence,asymmetric factorisation of the state space,stated,,yes,no,P04; P05; P08,P08: locus (visual cortex vs prefrontal awareness state) and necessity | P04: locus and distribution (prefrontal asymmetric ignition vs sustained posterior) | P05: distribution/timing (asymmetric ignition on presence vs sustained tracking of duration),1,,split from merged draft P09; HOSS derives ignition rather than staking a timing window
P30,GNWT,GNWT,M8,,,Melloni et al. 2023 (Cogitate protocol),10.1371/journal.pone.0268577,"Melloni et al. 2023, prediction 4 (Pre-stimulus activity), p. 5 (""higher prestimulus activity in prefrontal and parietal areas should reduce the chances of a new stimulus being experienced"")",full-text,"near-threshold stimuli in Experiment 2 (video-game paradigm), seen vs unseen",pre-stimulus prefrontal/parietal activity (high vs low),probability of the stimulus being experienced,modulation,higher pre-stimulus PFC/parietal activity -> lower detection (workspace occupied/refractory),prefrontal and parietal cortex,pre-stimulus,negative relation between pre-stimulus fronto-parietal activity and detection,the workspace has a refractory state,stated,preregistered; Experiment 2 not reported in Cogitate 2025,yes,no,P31,P31: sign and locus of pre-stimulus effect (fronto-parietal negative vs posterior positive),3,,
P31,IIT,IIT (3.0/4.0),M8,,,Melloni et al. 2023 (Cogitate protocol),10.1371/journal.pone.0268577,"Melloni et al. 2023, prediction 4 (Pre-stimulus activity), p. 5 (""Higher pre-stimulus excitability within category-specific areas or greater synchrony between these regions and lower-level areas (e.g., V1/V2) should increase the chances of a new stimulus being experienced"")",full-text,as P30,pre-stimulus excitability / synchrony in posterior category-specific areas,probability of the stimulus being experienced,modulation,higher pre-stimulus posterior excitability or posterior synchrony -> higher detection,posterior category-specific areas and V1/V2,pre-stimulus,positive relation between pre-stimulus posterior excitability and detection,posterior state determines perceptibility,stated,preregistered; Experiment 2 not reported in Cogitate 2025,yes,no,P30,P30: sign and locus of pre-stimulus effect (fronto-parietal negative vs posterior positive),3,,
