theory_id,theory,row_class,origin,domain_id,domain,code,polarity,relation,claim_text,source_label,source_doi,source_locus,evidence_status,confidence,provisional,flag_for_adjudication,adjudication_reason
FM,Feinberg & Mallatt,origin-level,submitted-v1,M1,number of simultaneously competing action policies,NOT_LOCATED,,,"I searched the cited available formulation for a dependence of conscious access or experience on the number of simultaneously competing action policies. I did not locate such a statement there; this is a corpus-limited absence, not a null prediction.",Feinberg & Mallatt 2020,10.3389/fpsyg.2020.01041,Basic consciousness; special neurobiological features; affective consciousness,full-text,2,False,False,
FM,Feinberg & Mallatt,origin-level,submitted-v1,M2,incompatibility of the competing policies,NOT_LOCATED,,,"I searched the cited available formulation for a dependence of access or experience on incompatibility between concurrently active action policies. I did not locate such a statement there; this is a corpus-limited absence, not a null prediction.",Feinberg & Mallatt 2020,10.3389/fpsyg.2020.01041,Basic consciousness; special neurobiological features; affective consciousness,full-text,2,False,False,
FM,Feinberg & Mallatt,origin-level,submitted-v1,M3,valence,EXPLICIT,positive,constitution,"Positive and negative affective feelings constitute a basic category of consciousness in this account, linked to valuation and learning.",Feinberg & Mallatt 2020,10.3389/fpsyg.2020.01041,Affective consciousness / evaluative learning (local para. 61),full-text,3,False,False,
FM,Feinberg & Mallatt,origin-level,submitted-v1,M5,organism-wide cortical–autonomic coherence,NOT_LOCATED,,,"I searched the cited available formulation for a measurable relationship between access and cortical–autonomic coupling across channels. I did not locate such a statement there; this is a corpus-limited absence, not a null prediction.",Feinberg & Mallatt 2020,10.3389/fpsyg.2020.01041,Basic consciousness; special neurobiological features; affective consciousness,full-text,2,False,False,
FM,Feinberg & Mallatt,origin-level,submitted-v1,M6,dimensionality of phenomenal structure,INTERPRETED,positive,constitution,"Mapped sensory representations preserve structured spatial relationships. Interpreting their independent spatial coordinates as dimensions of experience supplies a bridge to M6, but does not establish the dimensionality of the complete phenomenal space.",Feinberg & Mallatt 2020,10.3389/fpsyg.2020.01041,Mapped image-based consciousness,full-text,1,False,True,Spatial map dimensions are not a complete quantified phenomenal space.
FM,Feinberg & Mallatt,origin-level,submitted-v1,M7,metacognitive sensitivity,NOT_APPLICABLE,,,"The scope says “only consider basic, phenomenal consciousness” and “not any higher types like reflective consciousness”. I read this as delimiting the target of explanation, not denying that metacognition can occur.",Feinberg & Mallatt 2020,10.3389/fpsyg.2020.01041,"Introduction / scope, local para. 16",full-text,2,False,True,Adjudicate whether exclusion of higher-order cognition warrants NOT_APPLICABLE for its possible relation to basic experience.
FM,Feinberg & Mallatt,origin-level,submitted-v1,M8,cortical signature of access,EXPLICIT,stated_null,necessity,"The comparative account does not require a developed cerebral cortex or pallium for primary experience; it proposes a brain organization spanning forebrain, midbrain and hindbrain. This does not deny cortical involvement in adult human experience.",Feinberg & Mallatt 2013,10.3389/fpsyg.2013.00667,Abstract and concluding neuroanatomical requirements,full-text,3,False,False,
FM,Feinberg & Mallatt,origin-level,added-in-revision,M4a,access to interoceptive content as content,EXPLICIT,positive,constitution,"Interoceptive and bodily feelings, including pain and homeostatic experience, belong to primary consciousness; mapped representations include internal bodily signals.",Feinberg & Mallatt 2013,10.3389/fpsyg.2013.00667,"Sections on primary consciousness, sensory maps and affect; interoception/insula (local paras. 63–67)",full-text,3,False,False,
FM,Feinberg & Mallatt,origin-level,added-in-revision,M4b,visceral modulation of access to exteroceptive content,NOT_LOCATED,,,"I searched the cited available formulation for visceral state or phase modulating access to external sensory content. I did not locate such a statement there; this is a corpus-limited absence, not a null prediction.",Feinberg & Mallatt 2020,10.3389/fpsyg.2020.01041,Basic consciousness; special neurobiological features; affective consciousness,full-text,2,False,False,
FM,Feinberg & Mallatt,origin-level,added-in-revision,M4c,conscious involvement in purely autonomic conflict,NOT_LOCATED,,,"I searched the cited available formulation for a defined autonomic conflict with skeletal action plans expressly excluded. I did not locate such a statement there; this is a corpus-limited absence, not a null prediction.",Feinberg & Mallatt 2020,10.3389/fpsyg.2020.01041,Basic consciousness; special neurobiological features; affective consciousness,full-text,2,False,False,
GNWT,GNWT,trial-level,submitted-v1,M1,number of simultaneously competing action policies,NOT_LOCATED,,,"I searched the cited available formulation for a dependence of conscious access or experience on the number of simultaneously competing action policies. I did not locate such a statement there; this is a corpus-limited absence, not a null prediction.",Mashour et al. 2020,10.1016/j.neuron.2020.01.026,GNW model; signatures; self-monitoring discussion,full-text,2,False,False,
GNWT,GNWT,trial-level,submitted-v1,M2,incompatibility of the competing policies,INTERPRETED,positive,effect,"The Stroop workspace model recruits distributed processing for effortful nonroutine control. Inferring that incompatible response policies promote workspace recruitment links response conflict to access, although conflict degree is not a stated access variable.",Mashour et al. 2020,10.1016/j.neuron.2020.01.026,"GNW model applied to Stroop, local para. 41",full-text,1,False,True,Workspace recruitment for control is not necessarily variation in conscious experience.
GNWT,GNWT,trial-level,submitted-v1,M3,valence,NOT_LOCATED,,,"I searched the cited available formulation for valence-dependent access or a constitutive role for affective sign or magnitude in experience. I did not locate such a statement there; this is a corpus-limited absence, not a null prediction.",Mashour et al. 2020,10.1016/j.neuron.2020.01.026,GNW model; signatures; self-monitoring discussion,full-text,2,False,False,
GNWT,GNWT,trial-level,submitted-v1,M5,organism-wide cortical–autonomic coherence,NOT_LOCATED,,,"I searched the cited available formulation for a measurable relationship between access and cortical–autonomic coupling across channels. I did not locate such a statement there; this is a corpus-limited absence, not a null prediction.",Mashour et al. 2020,10.1016/j.neuron.2020.01.026,GNW model; signatures; self-monitoring discussion,full-text,2,False,False,
GNWT,GNWT,trial-level,submitted-v1,M6,dimensionality of phenomenal structure,NOT_LOCATED,,,"I searched the cited available formulation for a quantified number of independent phenomenal dimensions or distinguishable experiential states. I did not locate such a statement there; this is a corpus-limited absence, not a null prediction.",Mashour et al. 2020,10.1016/j.neuron.2020.01.026,GNW model; signatures; self-monitoring discussion,full-text,2,False,False,
GNWT,GNWT,trial-level,submitted-v1,M7,metacognitive sensitivity,INTERPRETED,positive,effect,"Conscious self-monitoring compares an internal representation of a computation with ongoing processing. A less reliable internal representation should change self-monitoring reports, but the text does not give a dependence of general access on calibrated higher-order precision.",Mashour et al. 2020,10.1016/j.neuron.2020.01.026,"Self-monitoring discussion, local paras. 124–129",full-text,1,False,True,Self-monitoring extension is weaker than a general metacognitive-precision prediction.
GNWT,GNWT,trial-level,submitted-v1,M8,cortical signature of access,EXPLICIT,positive,marker,"Preregistered GNWT predictions require prefrontal involvement and transient ignition related to conscious stimulus onset and offset, with an intervening activity-silent representation in this task.",Cogitate Consortium et al. 2025,10.1038/s41586-025-08888-1,Fig. 1 and preregistered neural predictions,full-text,3,False,False,
GNWT,GNWT,trial-level,added-in-revision,M4a,access to interoceptive content as content,INTERPRETED,positive,constitution,"Global broadcasting can make internally represented information available to the same workspace as perceptual information. Extending that mechanism to visceral representations predicts possible interoceptive content, but this passage does not identify a visceral test.",Mashour et al. 2020,10.1016/j.neuron.2020.01.026,"Self-monitoring and internal contents, local paras. 124–129",full-text,1,False,True,Mechanistic extension from internal contents to visceral afferents.
GNWT,GNWT,trial-level,added-in-revision,M4b,visceral modulation of access to exteroceptive content,NOT_LOCATED,,,"I searched the cited available formulation for visceral state or phase modulating access to external sensory content. I did not locate such a statement there; this is a corpus-limited absence, not a null prediction.",Mashour et al. 2020,10.1016/j.neuron.2020.01.026,GNW model; signatures; self-monitoring discussion,full-text,2,False,False,
GNWT,GNWT,trial-level,added-in-revision,M4c,conscious involvement in purely autonomic conflict,NOT_LOCATED,,,"I searched the cited available formulation for a defined autonomic conflict with skeletal action plans expressly excluded. I did not locate such a statement there; this is a corpus-limited absence, not a null prediction.",Mashour et al. 2020,10.1016/j.neuron.2020.01.026,GNW model; signatures; self-monitoring discussion,full-text,2,False,False,
HOT,Higher-order theory (HOT / HOROR),trial-level,submitted-v1,M1,number of simultaneously competing action policies,NOT_LOCATED,,,"I searched the cited available formulation for a dependence of conscious access or experience on the number of simultaneously competing action policies. I did not locate such a statement there; this is a corpus-limited absence, not a null prediction.",LeDoux & Brown 2017,10.1073/pnas.1619316114,Higher-order theory; emotional consciousness; HOROR; conclusions,full-text,2,False,False,
HOT,Higher-order theory (HOT / HOROR),trial-level,submitted-v1,M2,incompatibility of the competing policies,NOT_LOCATED,,,"I searched the cited available formulation for a dependence of access or experience on incompatibility between concurrently active action policies. I did not locate such a statement there; this is a corpus-limited absence, not a null prediction.",LeDoux & Brown 2017,10.1073/pnas.1619316114,Higher-order theory; emotional consciousness; HOROR; conclusions,full-text,2,False,False,
HOT,Higher-order theory (HOT / HOROR),trial-level,submitted-v1,M3,valence,EXPLICIT,positive,constitution,"Conscious emotional feelings, including fear, are constructed by higher-order cortical representations, using the general machinery of perceptual consciousness together with emotion-specific inputs.",LeDoux & Brown 2017,10.1073/pnas.1619316114,"Emotional consciousness and HOROR; local paras. 37–39, 105–106",full-text,3,False,False,
HOT,Higher-order theory (HOT / HOROR),trial-level,submitted-v1,M5,organism-wide cortical–autonomic coherence,NOT_LOCATED,,,"I searched the cited available formulation for a measurable relationship between access and cortical–autonomic coupling across channels. I did not locate such a statement there; this is a corpus-limited absence, not a null prediction.",LeDoux & Brown 2017,10.1073/pnas.1619316114,Higher-order theory; emotional consciousness; HOROR; conclusions,full-text,2,False,False,
HOT,Higher-order theory (HOT / HOROR),trial-level,submitted-v1,M6,dimensionality of phenomenal structure,NOT_LOCATED,,,"I searched the cited available formulation for a quantified number of independent phenomenal dimensions or distinguishable experiential states. I did not locate such a statement there; this is a corpus-limited absence, not a null prediction.",LeDoux & Brown 2017,10.1073/pnas.1619316114,Higher-order theory; emotional consciousness; HOROR; conclusions,full-text,2,False,False,
HOT,Higher-order theory (HOT / HOROR),trial-level,submitted-v1,M7,metacognitive sensitivity,NOT_LOCATED,,,I did not locate a precision or calibration requirement in the cited full-text HOROR formulation. Representing a lower-order state at a higher order is not by itself a claim that meta-d-prime or confidence accuracy indexes consciousness.,LeDoux & Brown 2017,10.1073/pnas.1619316114,Higher-order representation and HOROR; review of perceptual/emotional consciousness,full-text,2,False,False,
HOT,Higher-order theory (HOT / HOROR),trial-level,submitted-v1,M8,cortical signature of access,EXPLICIT,positive,necessity,"The account requires cortical higher-order machinery for conscious feelings, naming prefrontal/parietal and related cortical systems; subcortical defensive circuits alone are not the conscious feeling.",LeDoux & Brown 2017,10.1073/pnas.1619316114,"General networks of cognition, local para. 72; HOROR; concluding claims",full-text,3,False,False,
HOT,Higher-order theory (HOT / HOROR),trial-level,added-in-revision,M4a,access to interoceptive content as content,INTERPRETED,positive,constitution,Nonconscious body-sensing signals can enter the higher-order construction of feelings. Extending this account from emotional feeling to explicit awareness of a particular visceral afferent is a mechanistic inference.,LeDoux & Brown 2017,10.1073/pnas.1619316114,"Body-sensing inputs and higher-order assembly, local paras. 75–77, 106",full-text,2,False,False,
HOT,Higher-order theory (HOT / HOROR),trial-level,added-in-revision,M4b,visceral modulation of access to exteroceptive content,INTERPRETED,positive,modulation,"Physiological responses feed back into cortical processing supporting conscious emotional experience. A resulting modulation of externally directed conscious perception is plausible through shared cortical machinery, but is not explicitly demonstrated here.",LeDoux & Brown 2017,10.1073/pnas.1619316114,"HOROR, arousal and feedback, local para. 113",full-text,1,False,True,The source addresses emotional processing more directly than exteroceptive access.
HOT,Higher-order theory (HOT / HOROR),trial-level,added-in-revision,M4c,conscious involvement in purely autonomic conflict,NOT_LOCATED,,,"I searched the cited available formulation for a defined autonomic conflict with skeletal action plans expressly excluded. I did not locate such a statement there; this is a corpus-limited absence, not a null prediction.",LeDoux & Brown 2017,10.1073/pnas.1619316114,Higher-order theory; emotional consciousness; HOROR; conclusions,full-text,2,False,False,
HOSS,Higher-order state space (HOSS),trial-level,submitted-v1,M1,number of simultaneously competing action policies,NOT_LOCATED,,,"I searched the cited available formulation for a dependence of conscious access or experience on the number of simultaneously competing action policies. I did not locate such a statement there; this is a corpus-limited absence, not a null prediction.",Fleming 2020,10.1093/nc/niz020,Higher-order state-space model; predictions; discussion,full-text,2,False,False,
HOSS,Higher-order state space (HOSS),trial-level,submitted-v1,M2,incompatibility of the competing policies,NOT_LOCATED,,,"I searched the cited available formulation for a dependence of access or experience on incompatibility between concurrently active action policies. I did not locate such a statement there; this is a corpus-limited absence, not a null prediction.",Fleming 2020,10.1093/nc/niz020,Higher-order state-space model; predictions; discussion,full-text,2,False,False,
HOSS,Higher-order state space (HOSS),trial-level,submitted-v1,M3,valence,NOT_LOCATED,,,"I searched the cited available formulation for valence-dependent access or a constitutive role for affective sign or magnitude in experience. I did not locate such a statement there; this is a corpus-limited absence, not a null prediction.",Fleming 2020,10.1093/nc/niz020,Higher-order state-space model; predictions; discussion,full-text,2,False,False,
HOSS,Higher-order state space (HOSS),trial-level,submitted-v1,M5,organism-wide cortical–autonomic coherence,NOT_LOCATED,,,"I searched the cited available formulation for a measurable relationship between access and cortical–autonomic coupling across channels. I did not locate such a statement there; this is a corpus-limited absence, not a null prediction.",Fleming 2020,10.1093/nc/niz020,Higher-order state-space model; predictions; discussion,full-text,2,False,False,
HOSS,Higher-order state space (HOSS),trial-level,submitted-v1,M6,dimensionality of phenomenal structure,INTERPRETED,positive,constitution,A low-dimensional higher-order present/absent variable organizes a richer lower-order content space. Treating this as a contribution to phenomenal dimensionality requires an extra mapping from the model coordinates to independent experiential dimensions.,Fleming 2020,10.1093/nc/niz020,"Model architecture, Fig. 1 and discussion of content versus awareness",full-text,1,False,True,Model dimensionality need not be phenomenal dimensionality.
HOSS,Higher-order state space (HOSS),trial-level,submitted-v1,M7,metacognitive sensitivity,INTERPRETED,positive,effect,"Higher-order inference determines awareness judgments, and the accompanying second-order framework models the reliability of self-evaluation. Inferring that noise in the awareness readout changes awareness reports is warranted, but sensory precision in HOSS is not itself metarepresentational precision.",Fleming 2020; Fleming & Daw 2017,10.1093/nc/niz020;10.1037/rev0000045,HOSS model/discussion; second-order metacognition model in Fleming & Daw 2017,full-text,2,False,True,"Keep sensory noise, higher-order readout noise and confidence calibration separate."
HOSS,Higher-order state space (HOSS),trial-level,submitted-v1,M8,cortical signature of access,EXPLICIT,positive,marker,The model predicts an asymmetric prefrontal response for present versus absent awareness states and a nonlinear ignition-like response. Timing is not specified at a fine neural scale.,Fleming 2020,10.1093/nc/niz020,"Empirical predictions, local paras. 39–42",full-text,3,False,False,
HOSS,Higher-order state space (HOSS),trial-level,added-in-revision,M4a,access to interoceptive content as content,INTERPRETED,positive,constitution,"The model allows proprioceptive/interoceptive information to inform awareness inferences. Treating visceral signals as the target of the same higher-order present/absent inference, rather than as contextual cues, extends the model beyond its illustrated visual case.",Fleming 2020,10.1093/nc/niz020,"Expected precision and awareness, local paras. 45–47",full-text,1,False,True,Bodily evidence used as a cue does not automatically establish bodily content.
HOSS,Higher-order state space (HOSS),trial-level,added-in-revision,M4b,visceral modulation of access to exteroceptive content,INTERPRETED,positive,modulation,"Bodily information may inform expected sensory precision in the higher-order awareness inference. Extending this contextual mechanism to a measured visceral state predicts modulation of external awareness, without a specified cardiac or respiratory test.",Fleming 2020,10.1093/nc/niz020,"Expected precision and awareness, local paras. 45–47",full-text,1,False,True,Named bodily cues are broader than an empirically specified visceral modulator.
HOSS,Higher-order state space (HOSS),trial-level,added-in-revision,M4c,conscious involvement in purely autonomic conflict,NOT_LOCATED,,,"I searched the cited available formulation for a defined autonomic conflict with skeletal action plans expressly excluded. I did not locate such a statement there; this is a corpus-limited absence, not a null prediction.",Fleming 2020,10.1093/nc/niz020,Higher-order state-space model; predictions; discussion,full-text,2,False,False,
IIT,IIT (3.0/4.0),trial-level,submitted-v1,M1,number of simultaneously competing action policies,NOT_LOCATED,,,"I searched the cited available formulation for a dependence of conscious access or experience on the number of simultaneously competing action policies. I did not locate such a statement there; this is a corpus-limited absence, not a null prediction.",Albantakis et al. 2023,10.1371/journal.pcbi.1011465,Axioms; postulates; cause-effect structures; discussion,full-text,2,False,False,
IIT,IIT (3.0/4.0),trial-level,submitted-v1,M2,incompatibility of the competing policies,NOT_LOCATED,,,"I searched the cited available formulation for a dependence of access or experience on incompatibility between concurrently active action policies. I did not locate such a statement there; this is a corpus-limited absence, not a null prediction.",Albantakis et al. 2023,10.1371/journal.pcbi.1011465,Axioms; postulates; cause-effect structures; discussion,full-text,2,False,False,
IIT,IIT (3.0/4.0),trial-level,submitted-v1,M3,valence,UNRESOLVED,,,"IIT 4.0 treats affect as a possible but nonessential feature of experience. One reading supports a stated non-necessity of valence; another says M3 requires a claim about affective sign/access or a constitutive dimension, not merely optional mood. I do not turn optional affect into a no-effect prediction.",Albantakis et al. 2023,10.1371/journal.pcbi.1011465,"Axioms and their completeness, local paras. 46, 61",full-text,1,False,True,M3 does not explicitly define optional affect as a stated-null necessity claim.
IIT,IIT (3.0/4.0),trial-level,submitted-v1,M5,organism-wide cortical–autonomic coherence,NOT_LOCATED,,,"I searched the cited available formulation for a measurable relationship between access and cortical–autonomic coupling across channels. I did not locate such a statement there; this is a corpus-limited absence, not a null prediction.",Albantakis et al. 2023,10.1371/journal.pcbi.1011465,Axioms; postulates; cause-effect structures; discussion,full-text,2,False,False,
IIT,IIT (3.0/4.0),trial-level,submitted-v1,M6,dimensionality of phenomenal structure,EXPLICIT,positive,constitution,"IIT 3.0 defines a structured concept space with axes indexed by possible past and future states of the system, and identifies experience with the maximally irreducible conceptual structure. Its dimensionality is thus formally determined rather than merely called rich.","Oizumi, Albantakis & Tononi 2014",10.1371/journal.pcbi.1003588,Concept space and cause-effect repertoires; worked system examples,full-text,3,False,True,This explicit formalization is from IIT 3.0; mapping to the IIT 4.0 formulation should remain version-labelled.
IIT,IIT (3.0/4.0),trial-level,submitted-v1,M7,metacognitive sensitivity,NOT_LOCATED,,,"I searched the cited available formulation for a relationship between consciousness and the reliability of a higher-order representation, rather than sensory precision alone. I did not locate such a statement there; this is a corpus-limited absence, not a null prediction.",Albantakis et al. 2023,10.1371/journal.pcbi.1011465,Axioms; postulates; cause-effect structures; discussion,full-text,2,False,False,
IIT,IIT (3.0/4.0),trial-level,submitted-v1,M8,cortical signature of access,EXPLICIT,positive,marker,"For the registered human visual task, IIT predicts sustained content-specific activity in posterior cortical regions and posterior connectivity supporting the experienced content.",Cogitate Consortium et al. 2025,10.1038/s41586-025-08888-1,Fig. 1 and preregistered neural predictions,full-text,3,False,False,
IIT,IIT (3.0/4.0),trial-level,added-in-revision,M4a,access to interoceptive content as content,NOT_LOCATED,,,"I searched the cited available formulation for visceral or interoceptive signals explicitly becoming conscious content. I did not locate such a statement there; this is a corpus-limited absence, not a null prediction.",Albantakis et al. 2023,10.1371/journal.pcbi.1011465,Axioms; postulates; cause-effect structures; discussion,full-text,2,False,False,
IIT,IIT (3.0/4.0),trial-level,added-in-revision,M4b,visceral modulation of access to exteroceptive content,NOT_LOCATED,,,"I searched the cited available formulation for visceral state or phase modulating access to external sensory content. I did not locate such a statement there; this is a corpus-limited absence, not a null prediction.",Albantakis et al. 2023,10.1371/journal.pcbi.1011465,Axioms; postulates; cause-effect structures; discussion,full-text,2,False,False,
IIT,IIT (3.0/4.0),trial-level,added-in-revision,M4c,conscious involvement in purely autonomic conflict,NOT_LOCATED,,,"I searched the cited available formulation for a defined autonomic conflict with skeletal action plans expressly excluded. I did not locate such a statement there; this is a corpus-limited absence, not a null prediction.",Albantakis et al. 2023,10.1371/journal.pcbi.1011465,Axioms; postulates; cause-effect structures; discussion,full-text,2,False,False,
NSF,Neural subjective frame,trial-level,added-in-revision,M1,number of simultaneously competing action policies,NOT_LOCATED,,,"I searched the cited available formulation for a dependence of conscious access or experience on the number of simultaneously competing action policies. I did not locate such a statement there; this is a corpus-limited absence, not a null prediction.",Park & Tallon-Baudry 2014,10.1098/rstb.2013.0208,Neural subjective frame; heartbeat-evoked responses; empirical predictions,full-text,2,False,False,
NSF,Neural subjective frame,trial-level,added-in-revision,M2,incompatibility of the competing policies,NOT_LOCATED,,,"I searched the cited available formulation for a dependence of access or experience on incompatibility between concurrently active action policies. I did not locate such a statement there; this is a corpus-limited absence, not a null prediction.",Park & Tallon-Baudry 2014,10.1098/rstb.2013.0208,Neural subjective frame; heartbeat-evoked responses; empirical predictions,full-text,2,False,False,
NSF,Neural subjective frame,trial-level,added-in-revision,M3,valence,INTERPRETED,positive,constitution,"The subjective-frame account relates bodily processing to subjectivity and feeling. Inferring that affective valence is represented through this frame is possible, but a valence-dependent access rule is not stated.",Park & Tallon-Baudry 2014,10.1098/rstb.2013.0208,Neural subjective frame and bodily feeling,full-text,1,False,True,A general subjective frame does not fix the sign or magnitude of affect.
NSF,Neural subjective frame,trial-level,added-in-revision,M5,organism-wide cortical–autonomic coherence,INTERPRETED,positive,marker,"Heartbeat-evoked cortical activity links visceral events with cortical processing relevant to awareness. Interpreting this as cortical–autonomic coupling is a bridge to M5, but a heartbeat-locked cortical response alone is not organism-wide multichannel coherence.",Park & Tallon-Baudry 2014,10.1098/rstb.2013.0208,"Neural responses to heartbeats and testable predictions, local paras. 62, 86",full-text,1,False,True,Local heartbeat responses and organism-wide coherence are different observables.
NSF,Neural subjective frame,trial-level,added-in-revision,M6,dimensionality of phenomenal structure,NOT_LOCATED,,,"I searched the cited available formulation for a quantified number of independent phenomenal dimensions or distinguishable experiential states. I did not locate such a statement there; this is a corpus-limited absence, not a null prediction.",Park & Tallon-Baudry 2014,10.1098/rstb.2013.0208,Neural subjective frame; heartbeat-evoked responses; empirical predictions,full-text,2,False,False,
NSF,Neural subjective frame,trial-level,added-in-revision,M7,metacognitive sensitivity,NOT_LOCATED,,,"I searched the cited available formulation for a relationship between consciousness and the reliability of a higher-order representation, rather than sensory precision alone. I did not locate such a statement there; this is a corpus-limited absence, not a null prediction.",Park & Tallon-Baudry 2014,10.1098/rstb.2013.0208,Neural subjective frame; heartbeat-evoked responses; empirical predictions,full-text,2,False,False,
NSF,Neural subjective frame,trial-level,added-in-revision,M8,cortical signature of access,EXPLICIT,positive,marker,Cortical heartbeat-evoked responses provide a temporally localized candidate marker of the bodily frame associated with perceptual access. The account distinguishes this frame from explicit heartbeat reports.,Park & Tallon-Baudry 2014,10.1098/rstb.2013.0208,"Heartbeat-evoked responses and proposed access tests, local paras. 62–66, 86",full-text,2,False,False,
NSF,Neural subjective frame,trial-level,added-in-revision,M4a,access to interoceptive content as content,EXPLICIT,positive,constitution,Heartbeat information can be consciously perceived as content; the account discusses explicit heartbeat perception separately from the usually implicit bodily frame. The implicit status of the frame is not a denial of interoceptive awareness.,Park & Tallon-Baudry 2014,10.1098/rstb.2013.0208,"Heartbeat perception versus neural responses without heartbeat awareness, local paras. 62–66",full-text,3,False,False,
NSF,Neural subjective frame,trial-level,added-in-revision,M4b,visceral modulation of access to exteroceptive content,EXPLICIT,positive,modulation,Cortical responses to heartbeats before a weak visual stimulus predict whether that external stimulus is detected; this links bodily processing to visual awareness.,Park & Tallon-Baudry 2014,10.1098/rstb.2013.0208,"Discussion of heartbeat responses and visual perception, local paras. 68–79; see Park et al. 2014 nn.3671",full-text,3,False,False,
NSF,Neural subjective frame,trial-level,added-in-revision,M4c,conscious involvement in purely autonomic conflict,NOT_LOCATED,,,"I searched the cited available formulation for a defined autonomic conflict with skeletal action plans expressly excluded. I did not locate such a statement there; this is a corpus-limited absence, not a null prediction.",Park & Tallon-Baudry 2014,10.1098/rstb.2013.0208,Neural subjective frame; heartbeat-evoked responses; empirical predictions,full-text,2,False,False,
PFT,Passive frame theory,trial-level,added-in-revision,M1,number of simultaneously competing action policies,INTERPRETED,positive,effect,"The passive conscious frame combines outputs of multiple action systems for integrated skeletal action. Moving from one policy to competing policies suggests greater arbitration demand, but no access function of policy count is specified.","Morsella et al. 2015/2016, target article",10.1017/s0140525x15000643,Integration of efference streams; PRISM (local paras. 463–467),full-text,1,False,True,Number and incompatibility of plans are not independently manipulated in the cited account.
