publication_id,study_family_id,experiment_id,sample_id,citation_label,doi,year,experiment_label,paradigm,unit_type_coder2,n_experiments_identified,partition_note,modality,affective_status,effector_type,manipulation,measured_outcome,report_type,theory_attribution_by_authors,by_authors_locus,theory_attribution_later,later_attribution_evidence,contested_inclusion,contested_reason,ancillary_experiment,source_locus,adjudication_reason,evidence_status,provisional,partition_status,flag_for_adjudication
P11,P11,P11-E1,P11-E1-S1,Tsuchiya & Koch 2005,10.1038/nn1500,2005,Publication retained pending full methods,Continuous flash suppression and afterimages,publication-as-one,1,"Only the abstract was available; one publication row is retained provisionally, not a verified one-experiment claim.",visual,neutral,,Visibility of adapting images,Afterimage strength,report,UNRESOLVED,Abstract: no named coded theory verified; full text unavailable.,none found,none found in the accessible codebook §5 corpus; unavailable full texts and books are not negative evidence,True,Primary contrast concerns consequences of suppressed stimulation; an independently measured content-access contrast requires full-method verification.,False,Abstract,,abstract-only,True,unverified-publication-as-one,True
P12,P12,P12-E1,P12-BEH,Pitts et al. 2014,10.3389/fpsyg.2014.01078,2014,Behavioral pilot experiment,Masking crossed with task relevance,experiment,2,"Behavioral and EEG samples are separate. IDs follow the Results presentation (behavioral first); Methods lists EEG participants first. Earlier inattentional studies are background, not new rows.",visual,neutral,,Mask timing and critical shape/color,Discrimination and awareness reports,report,none found,Introduction/Discussion cite Dehaene and Lamme frameworks without naming the coded theories. Strict name rule applied; attribution by identifiable citation needs adjudication.,none found,none found in the accessible codebook §5 corpus; unavailable full texts and books are not negative evidence,False,,True,Results: Behavioral experiment; Methods: behavioral sample,,full-text,False,verified-main-text,False
P12,P12,P12-E2,P12-EEG,Pitts et al. 2014,10.3389/fpsyg.2014.01078,2014,EEG experiment,Masking crossed with task relevance,experiment,2,"Behavioral and EEG samples are separate. IDs follow the Results presentation (behavioral first); Methods lists EEG participants first. Earlier inattentional studies are background, not new rows.",visual,neutral,,Mask timing and task relevance,"Awareness checks, task decisions and ERPs",both,none found,Introduction/Discussion cite Dehaene and Lamme frameworks without naming the coded theories. Strict name rule applied; attribution by identifiable citation needs adjudication.,none found,none found in the accessible codebook §5 corpus; unavailable full texts and books are not negative evidence,False,,False,Results: EEG experiment; Methods: EEG sample,,full-text,False,verified-main-text,False
P13,P13,P13-E1,P13-R-FMRI;P13-R-EEG;P13-R-ICEEG,Kronemer et al. 2022,10.1038/s41467-022-35117-4,2022,"Visual report paradigm, multiple recording arms",Threshold perception with report/no-report,experiment,3,"Two verified visual designs, plus one separately analyzed auditory observation. The auditory data provenance requires supplementary/adjudication review.",visual,neutral,,Near-threshold face perception,Perception reports; fMRI/scalp EEG/intracranial responses,report,none found,"Abstract, Introduction and Discussion searched for named coded theories; none found.",none found,none found in the accessible codebook §5 corpus; unavailable full texts and books are not negative evidence,False,,False,"Methods, visual report paradigm and participants",,full-text,False,two-verified-plus-one-provenance-unresolved,True
P13,P13,P13-E2,P13-NR-FMRI;P13-NR-EEG,Kronemer et al. 2022,10.1038/s41467-022-35117-4,2022,Visual report plus no-report paradigm,Threshold perception with report/no-report,experiment,3,"Two verified visual designs, plus one separately analyzed auditory observation. The auditory data provenance requires supplementary/adjudication review.",visual,neutral,,Attended versus unattended threshold faces,"Reports, ocular classifier, fMRI and EEG",both,none found,"Abstract, Introduction and Discussion searched for named coded theories; none found.",none found,none found in the accessible codebook §5 corpus; unavailable full texts and books are not negative evidence,False,,False,"Methods, visual report/no-report paradigm",,full-text,False,two-verified-plus-one-provenance-unresolved,True
P13,P13,P13-E3,P13-AUD,Kronemer et al. 2022,10.1038/s41467-022-35117-4,2022,Ancillary auditory patient observation,Threshold perception with report/no-report,experiment,3,"Two verified visual designs, plus one separately analyzed auditory observation. The auditory data provenance requires supplementary/adjudication review.",auditory,neutral,,Auditory perceptual threshold,Auditory awareness and thalamic response,report,none found,"Abstract, Introduction and Discussion searched for named coded theories; none found.",none found,none found in the accessible codebook §5 corpus; unavailable full texts and books are not negative evidence,True,Main text describes data from a separate study; whether this is a previously published dataset could not be established.,True,"Results, TAP auditory replication; Fig.S14; participant 1 Table S2","Provisional unit inclusion by provenance, distinct from the evidence-status provisional flag.",full-text,False,two-verified-plus-one-provenance-unresolved,True
P14,P14,P14-E1,P14-E1-S1,Dellert et al. 2025,10.1016/j.cub.2025.10.026,2025,Publication retained pending full methods,Auditory inattentional deafness,publication-as-one,1,"Only the abstract was available; one publication row is retained provisionally, not a verified one-experiment claim.",auditory,neutral,,Auditory awareness between groups without immediate report,Awareness classification and neural responses,no-report,UNRESOLVED,Abstract: no named coded theory verified; full text unavailable.,none found,none found in the accessible codebook §5 corpus; unavailable full texts and books are not negative evidence,False,,False,Abstract,,abstract-only,True,unverified-publication-as-one,True
P16,P16,P16-E1,P16-E1-S1,Maniscalco & Lau 2012,10.1016/j.concog.2011.09.021,2012,Empirical component pending full partition,Signal-detection measurement of metacognition,publication-as-one,1,"Only the abstract was available; one publication row is retained provisionally, not a verified one-experiment claim.",visual,neutral,,Discrimination and confidence levels,Meta-d-prime and type-2 sensitivity,report,UNRESOLVED,Abstract: no named coded theory verified; full text unavailable.,HOSS,"CONTEXT_UNNAMED | HOSS:10.1037/rev0000045, Introduction, metacognitive readout; codebook assigns this pre-HOSS model to the HOSS source family",True,"Primary measure is metacognitive performance, not conscious access; computational examples add no empirical rows.",False,Abstract,,abstract-only,True,unverified-publication-as-one,True
P17,P17,P17-E1,P17-E1-S1,Rounis et al. 2010,10.1080/17588921003632529,2010,Publication retained pending full methods,Prefrontal stimulation and visual metacognition,publication-as-one,1,"Only the abstract was available; one publication row is retained provisionally, not a verified one-experiment claim.",visual,neutral,,DLPFC theta-burst stimulation,Visual performance and metacognitive sensitivity,report,UNRESOLVED,Abstract: no named coded theory verified; full text unavailable.,HOSS,"CONTEXT_UNNAMED | HOSS:10.1037/rev0000045, performance/metacognition dissociations",True,Primary dissociation concerns metacognitive sensitivity at controlled first-order performance.,False,Abstract,,abstract-only,True,unverified-publication-as-one,True
P18,P18,P18-E1,P18-E1-S1,Fleming et al. 2010,10.1126/science.1191883,2010,Visual discrimination/confidence with structural MRI,Individual differences in introspection,experiment,1,Separate techniques or within-sample conditions are not counted as additional experiments.,visual,neutral,,Perceptual evidence and individual brain structure,Confidence–accuracy correspondence and anatomy,report,none found,"Abstract, Introduction and Discussion searched for named coded theories; none found.",HOSS,"CONTEXT_UNNAMED | HOSS:10.1037/rev0000045, metacognitive variability and anterior prefrontal cortex",True,"Metacognitive accuracy is the primary variable, not content access.",False,Methods; Results,,full-text,False,verified-main-text,True
P19,P19,P19-E1,P19-PFC;P19-TEMP;P19-CONTROL,Fleming et al. 2014,10.1093/brain/awu221,2014,Common task design across three groups,Lesion groups with perceptual and memory metacognition,experiment,1,One study with three groups and two within-person tasks. Do not duplicate participants as independent perceptual and memory experiments.,visual,neutral,,Lesion group; perceptual versus memory task,"Task accuracy, confidence and metacognitive efficiency",report,none found,"Abstract, Introduction and Discussion searched for named coded theories; none found.",HOSS,"CONTEXT_UNNAMED | HOSS:10.1037/rev0000045, lesions and metacognitive dissociation",True,"Confidence calibration, including a memory comparison, is primary.",False,Common task design across three groups: Methods and Results; attribution separately located,,full-text,False,verified-main-text,True
P20,P20,P20-E1,P20-E1-S1,Dijkstra & Fleming 2023,10.1038/s41467-023-37322-1,2023,Experiment 1: imagery with external input,Imagery and perceptual reality monitoring,experiment,3,"Two named new experiments plus the reported initial 4%-contrast study (12% real judgments, 57% correct orientation). The fMRI dataset is a reanalysis and creates no row.",visual,neutral,,Imagined/physical orientation congruence,Real/imagined judgment and vividness,report,HOT,Discussion: higher-order theories of consciousness; cited models not relabelled HOSS without an explicit identifying link,none found,none found in the accessible codebook §5 corpus; unavailable full texts and books are not negative evidence,False,,False,Experiment 1: imagery with external input: Methods and Results; attribution separately located,,full-text,False,main-two-verified-ancillary-details-incomplete,True
P20,P20,P20-E2,P20-E2-S1,Dijkstra & Fleming 2023,10.1038/s41467-023-37322-1,2023,Experiment 2: imagery without external input,Imagery and perceptual reality monitoring,experiment,3,"Two named new experiments plus the reported initial 4%-contrast study (12% real judgments, 57% correct orientation). The fMRI dataset is a reanalysis and creates no row.",visual,neutral,,Imagery with no physical grating,Reality judgment and imagery vividness,report,HOT,Discussion: higher-order theories of consciousness; cited models not relabelled HOSS without an explicit identifying link,none found,none found in the accessible codebook §5 corpus; unavailable full texts and books are not negative evidence,False,,False,Experiment 2: imagery without external input: Methods and Results; attribution separately located,,full-text,False,main-two-verified-ancillary-details-incomplete,True
P20,P20,P20-E3,P20-E3-S1,Dijkstra & Fleming 2023,10.1038/s41467-023-37322-1,2023,Ancillary initial low-contrast study,Imagery and perceptual reality monitoring,experiment,3,"Two named new experiments plus the reported initial 4%-contrast study (12% real judgments, 57% correct orientation). The fMRI dataset is a reanalysis and creates no row.",visual,neutral,,Initial 4% grating-in-noise setting,Real judgments and orientation accuracy,report,HOT,Discussion: higher-order theories of consciousness; cited models not relabelled HOSS without an explicit identifying link,none found,none found in the accessible codebook §5 corpus; unavailable full texts and books are not negative evidence,False,,True,"Methods, contrast selection: initial study outcomes",Sample size and full design of the initial study are not stated in the main text.,full-text,False,main-two-verified-ancillary-details-incomplete,True
P21,P21,P21-E1,P21-E1-S1,Wilterson et al. 2020,10.1016/j.pneurobio.2020.101844,2020,Experiment 1,Attention schema cueing,experiment,6,Author proof contains Methods/Results for experiments 1–6. Abstract wording suggests six plus two. Six verified units retained; no invented E7/E8. Final-version partition unresolved.,visual,neutral,,Visible cue; rule disclosed,RT and awareness checks,report,AST,Abstract and Introduction,none found,none found in the accessible codebook §5 corpus; unavailable full texts and books are not negative evidence,False,,False,Experiment 1: Methods and Results; attribution separately located,,full-text,False,six-methods-versus-abstract-discrepancy,True
P21,P21,P21-E2,P21-E2-S1,Wilterson et al. 2020,10.1016/j.pneurobio.2020.101844,2020,Experiment 2,Attention schema cueing,experiment,6,Author proof contains Methods/Results for experiments 1–6. Abstract wording suggests six plus two. Six verified units retained; no invented E7/E8. Final-version partition unresolved.,visual,neutral,,Visible cue; rule undisclosed,RT and awareness checks,report,AST,Abstract and Introduction,none found,none found in the accessible codebook §5 corpus; unavailable full texts and books are not negative evidence,False,,False,Experiment 2: Methods and Results; attribution separately located,,full-text,False,six-methods-versus-abstract-discrepancy,True
P21,P21,P21-E3,P21-E3-S1,Wilterson et al. 2020,10.1016/j.pneurobio.2020.101844,2020,Experiment 3,Attention schema cueing,experiment,6,Author proof contains Methods/Results for experiments 1–6. Abstract wording suggests six plus two. Six verified units retained; no invented E7/E8. Final-version partition unresolved.,visual,neutral,,Masked cue,RT and awareness checks,report,AST,Abstract and Introduction,none found,none found in the accessible codebook §5 corpus; unavailable full texts and books are not negative evidence,True,Cue access is held below threshold.,False,Experiment 3: Methods and Results; attribution separately located,,full-text,False,six-methods-versus-abstract-discrepancy,True
P21,P21,P21-E4,P21-E4-S1,Wilterson et al. 2020,10.1016/j.pneurobio.2020.101844,2020,Experiment 4,Attention schema cueing,experiment,6,Author proof contains Methods/Results for experiments 1–6. Abstract wording suggests six plus two. Six verified units retained; no invented E7/E8. Final-version partition unresolved.,visual,neutral,,Masked cue; extended learning,RT and awareness checks,report,AST,Abstract and Introduction,none found,none found in the accessible codebook §5 corpus; unavailable full texts and books are not negative evidence,True,Cue access is held below threshold.,False,Experiment 4: Methods and Results; attribution separately located,,full-text,False,six-methods-versus-abstract-discrepancy,True
P21,P21,P21-E5,P21-E5-S1,Wilterson et al. 2020,10.1016/j.pneurobio.2020.101844,2020,Experiment 5,Attention schema cueing,experiment,6,Author proof contains Methods/Results for experiments 1–6. Abstract wording suggests six plus two. Six verified units retained; no invented E7/E8. Final-version partition unresolved.,visual,neutral,,Visible cue; spatial/eye controls,"RT, accuracy and eye position",report,AST,Abstract and Introduction,none found,none found in the accessible codebook §5 corpus; unavailable full texts and books are not negative evidence,False,,False,Experiment 5: Methods and Results; attribution separately located,,full-text,False,six-methods-versus-abstract-discrepancy,True
P21,P21,P21-E6,P21-E6-S1,Wilterson et al. 2020,10.1016/j.pneurobio.2020.101844,2020,Experiment 6,Attention schema cueing,experiment,6,Author proof contains Methods/Results for experiments 1–6. Abstract wording suggests six plus two. Six verified units retained; no invented E7/E8. Final-version partition unresolved.,visual,neutral,,Trained versus untrained locations,Spatial generalization,report,AST,Abstract and Introduction,none found,none found in the accessible codebook §5 corpus; unavailable full texts and books are not negative evidence,False,,False,Experiment 6: Methods and Results; attribution separately located,,full-text,False,six-methods-versus-abstract-discrepancy,True
P22,P22,P22-E1,P22-ARM,"Morsella, Gray & Krieger 2009",10.1037/a0017121,2009,Study 1: arm intentions,Sustained compatible/incompatible intentions,experiment,4,"Three named studies plus a separate analyzed sample of eight difficulty judges. IDs follow first occurrence: Study 1, its judges, Study 2, Study 3.",motor,neutral,skeletal,Compatible versus incompatible arm plans,Subjective conflict before action,report,SIT,"Introduction, PRISM and the theory of Morsella 2005; General Discussion",PFT,"CONTEXT_UNNAMED | PFT:10.3389/fpsyg.2012.00369, smooth muscle versus conscious skeletal conflicts; PFT:10.1017/s0140525x15000643, skeletal-muscle restriction, reference Morsella et al. 2009a",False,,False,Study 1,,full-text,False,verified-main-text,False
P22,P22,P22-E2,P22-JUDGES,"Morsella, Gray & Krieger 2009",10.1037/a0017121,2009,Ancillary independent difficulty judgments,Sustained compatible/incompatible intentions,experiment,4,"Three named studies plus a separate analyzed sample of eight difficulty judges. IDs follow first occurrence: Study 1, its judges, Study 2, Study 3.",motor,neutral,skeletal,Wiggling versus button-pressing action,Rated movement difficulty,report,SIT,"Introduction, PRISM and the theory of Morsella 2005; General Discussion",PFT,"CONTEXT_UNNAMED | PFT:10.3389/fpsyg.2012.00369, smooth muscle versus conscious skeletal conflicts; PFT:10.1017/s0140525x15000643, skeletal-muscle restriction, reference Morsella et al. 2009a",True,"Ancillary ratings assess task difficulty, not access to conflict.",True,"Study 1 Results, independent judges n=8",,full-text,False,verified-main-text,True
P22,P22,P22-E3,P22-E3-S1,"Morsella, Gray & Krieger 2009",10.1037/a0017121,2009,Study 2: finger intentions,Sustained compatible/incompatible intentions,experiment,4,"Three named studies plus a separate analyzed sample of eight difficulty judges. IDs follow first occurrence: Study 1, its judges, Study 2, Study 3.",motor,neutral,skeletal,Compatible versus incompatible finger plans,Subjective conflict before action,report,SIT,"Introduction, PRISM and the theory of Morsella 2005; General Discussion",PFT,"CONTEXT_UNNAMED | PFT:10.3389/fpsyg.2012.00369, smooth muscle versus conscious skeletal conflicts; PFT:10.1017/s0140525x15000643, skeletal-muscle restriction, reference Morsella et al. 2009a",False,,False,Study 2,,full-text,False,verified-main-text,False
P22,P22,P22-E4,P22-E4-S1,"Morsella, Gray & Krieger 2009",10.1037/a0017121,2009,Study 3: pupil reflex control,Sustained compatible/incompatible intentions,experiment,4,"Three named studies plus a separate analyzed sample of eight difficulty judges. IDs follow first occurrence: Study 1, its judges, Study 2, Study 3.",UNRESOLVED,neutral,,One-eye versus two-eye light conditions,Pupil change and reported subjective activity,report,SIT,"Introduction, PRISM and the theory of Morsella 2005; General Discussion",PFT,"CONTEXT_UNNAMED | PFT:10.3389/fpsyg.2012.00369, smooth muscle versus conscious skeletal conflicts; PFT:10.1017/s0140525x15000643, skeletal-muscle restriction, reference Morsella et al. 2009a",True,Reflex–reflex smooth-muscle contrast contains no clear intention directed at an autonomic effector; it fails the stated autonomic motor-conflict definition.,True,Study 3,Autonomic effector is physiological context; do not classify as interoceptive content or intentional autonomic motor conflict automatically.,full-text,False,verified-main-text,True
P23,P23,P23-E1,P23-S1,"Gray, Bargh & Morsella 2013",10.1007/s00221-013-3566-5,2013,Publication retained pending full methods,Sustained finger intentions during fMRI,publication-as-one,1,"Abstract describes one sample and two task contrasts; distinct additional samples cannot be established. Only the abstract was available; one publication row is retained provisionally, not a verified one-experiment claim.",motor,neutral,skeletal,Compatible/incompatible finger plans and Stroop contrast,Subjective conflict ratings and fMRI,report,UNRESOLVED,Abstract: no named coded theory verified; full text unavailable.,PFT,"CONTEXT_UNNAMED | PFT:10.1017/s0140525x15000643, target footnote 8 and sensorium discussion, reference Gray, Bargh & Morsella 2013",False,,False,Abstract,,abstract-only,True,unverified-publication-as-one,True
P24,P24,P24-E1,P24-E1-S1,Morsella et al. 2009b,10.3758/app.71.8.1807,2009,Study 1: Stroop urges,Response interference and conscious urges,experiment,6,"Studies 1, 2, 3, 4A, 4B and 4C have separate samples/analyses. Substudies are not collapsed into one Study 4 row.",motor,neutral,skeletal,Color-word compatibility,Urge ratings,report,SIT,General Discussion: supramodular interaction theory,PFT,"CONTEXT_UNNAMED | PFT:10.1017/s0140525x15000643, discussion of subjective urges and response interference, reference Morsella et al. 2009c",False,,False,Study 1: Stroop urges: Methods and Results; attribution separately located,,full-text,False,verified-main-text,False
P24,P24,P24-E2,P24-E2-S1,Morsella et al. 2009b,10.3758/app.71.8.1807,2009,Study 2: overt/subvocal comparison,Response interference and conscious urges,experiment,6,"Studies 1, 2, 3, 4A, 4B and 4C have separate samples/analyses. Substudies are not collapsed into one Study 4 row.",motor,neutral,skeletal,Response mode and congruence,Subjective interference,report,SIT,General Discussion: supramodular interaction theory,PFT,"CONTEXT_UNNAMED | PFT:10.1017/s0140525x15000643, discussion of subjective urges and response interference, reference Morsella et al. 2009c",False,,False,Study 2: overt/subvocal comparison: Methods and Results; attribution separately located,,full-text,False,verified-main-text,False
P24,P24,P24-E3,P24-E3-S1,Morsella et al. 2009b,10.3758/app.71.8.1807,2009,Study 3: subjective dimensions,Response interference and conscious urges,experiment,6,"Studies 1, 2, 3, 4A, 4B and 4C have separate samples/analyses. Substudies are not collapsed into one Study 4 row.",motor,neutral,skeletal,Congruence and rated dimension,Subjective ratings,report,SIT,General Discussion: supramodular interaction theory,PFT,"CONTEXT_UNNAMED | PFT:10.1017/s0140525x15000643, discussion of subjective urges and response interference, reference Morsella et al. 2009c",False,,False,Study 3: subjective dimensions: Methods and Results; attribution separately located,,full-text,False,verified-main-text,False
P24,P24,P24-E4,P24-E4-S1,Morsella et al. 2009b,10.3758/app.71.8.1807,2009,Study 4A: flanker interference,Response interference and conscious urges,experiment,6,"Studies 1, 2, 3, 4A, 4B and 4C have separate samples/analyses. Substudies are not collapsed into one Study 4 row.",motor,neutral,skeletal,Stimulus versus response conflict,Urges and performance,report,SIT,General Discussion: supramodular interaction theory,PFT,"CONTEXT_UNNAMED | PFT:10.1017/s0140525x15000643, discussion of subjective urges and response interference, reference Morsella et al. 2009c",False,,False,Study 4A: flanker interference: Methods and Results; attribution separately located,,full-text,False,verified-main-text,False
P24,P24,P24-E5,P24-E5-S1,Morsella et al. 2009b,10.3758/app.71.8.1807,2009,Study 4B: flanker replication,Response interference and conscious urges,experiment,6,"Studies 1, 2, 3, 4A, 4B and 4C have separate samples/analyses. Substudies are not collapsed into one Study 4 row.",motor,neutral,skeletal,Stimulus versus response conflict,Urges and performance,report,SIT,General Discussion: supramodular interaction theory,PFT,"CONTEXT_UNNAMED | PFT:10.1017/s0140525x15000643, discussion of subjective urges and response interference, reference Morsella et al. 2009c",False,,False,Study 4B: flanker replication: Methods and Results; attribution separately located,,full-text,False,verified-main-text,False
P24,P24,P24-E6,P24-E6-S1,Morsella et al. 2009b,10.3758/app.71.8.1807,2009,Study 4C: timing control,Response interference and conscious urges,experiment,6,"Studies 1, 2, 3, 4A, 4B and 4C have separate samples/analyses. Substudies are not collapsed into one Study 4 row.",motor,neutral,skeletal,Response conflict with delayed/self-paced procedure,Urges and performance,report,SIT,General Discussion: supramodular interaction theory,PFT,"CONTEXT_UNNAMED | PFT:10.1017/s0140525x15000643, discussion of subjective urges and response interference, reference Morsella et al. 2009c",False,,True,Study 4C: timing control: Methods and Results; attribution separately located,,full-text,False,verified-main-text,False
P26,P26,P26-E1,P26-E1-S1,"Yang, Zald & Blake 2007",10.1037/1528-3542.7.4.882,2007,Experiment 1: face detection,Emotional faces under suppression,experiment,3,Separate techniques or within-sample conditions are not counted as additional experiments.,visual,valenced,,Facial affect and inversion,Detection time,report,none found,"Abstract, Introduction and Discussion searched for named coded theories; none found.",none found,none found in the accessible codebook §5 corpus; unavailable full texts and books are not negative evidence,False,,False,Experiment 1: face detection: Methods and Results; attribution separately located,,full-text,False,verified-main-text,False
P26,P26,P26-E2,P26-E2-S1,"Yang, Zald & Blake 2007",10.1037/1528-3542.7.4.882,2007,Experiment 2: face localization,Emotional faces under suppression,experiment,3,Separate techniques or within-sample conditions are not counted as additional experiments.,visual,valenced,,Facial affect and inversion,Localization time,report,none found,"Abstract, Introduction and Discussion searched for named coded theories; none found.",none found,none found in the accessible codebook §5 corpus; unavailable full texts and books are not negative evidence,False,,False,Experiment 2: face localization: Methods and Results; attribution separately located,,full-text,False,verified-main-text,False
