doi,file,original_name,pages,sha256,ref
10.1016/j.tics.2022.09.002,10_1016_j_tics_2022_09_002.pdf,The topological space of subjective experience.pdf,4,655c822c3ba0b5e3,Tallon-Baudry (2022)
10.1016/s0166-2236(00)01657-x,10_1016_s0166_2236_00_01657_x.pdf,The distinct modes of vision offered by feedforward and recurrent processing.pdf,9,10bd53716371cef1,Lamme & Roelfsema (2000)
10.1016/j.cortex.2017.05.019,10_1016_j_cortex_2017_05_019.pdf,"The neural monitoring of visceral inputs, rather than attention, accounts for first-person perspective in conscious vision .pdf",11,d132fa051b9c0e11,Tallon-Baudry et al. (2018)
10.1037/0033-295x.112.4.1000,10_1037_0033_295x_112_4_1000.pdf,The Function of Phenomenal States: Supramodular Interaction Theory.pdf,22,3a1406d2d87df52f,Morsella (2005)
10.1038/nn1549,10_1038_nn1549.pdf,timing of the brain events underlying access to consciousness during the attentional blink.pdf,10,7594cec7a00d3f40,Sergent et al. (2005)
10.1080/17588921003632529,10_1080_17588921003632529.pdf,Theta-burst transcranial magnetic stimulation to the prefrontal or parietal cortex does not impair metacognitive visual awareness.pdf,20,634672dc41ffa947,Rounis et al. (2010)
10.1038/nn.3671,10_1038_nn_3671.pdf,"Spontaneous fluctuations in neural responses to heartbeats predict visual detection (Park, Hyeong-Dong Correia etc.).pdf",9,1f1316fd9dc05108,Park et al. (2014)
10.1002/hbm.24748,10_1002_hbm_24748.pdf,The neural correlates of ΓÇ£mind blankingΓÇ¥: When the mind goes away.pdf,7,17a1afc3b5e55d88,Kawagoe et al. (2019)
10.3389/fpsyg.2015.00500,10_3389_fpsyg_2015_00500.pdf,The attention schema theory: a mechanistic account of subjective awareness.pdf,11,08b37eca32ba044e,Graziano & Webb (2015)
10.1098/rstb.2013.0208,10_1098_rstb_2013_0208.pdf,"The neural subjective frame from bodily signals to perceptual consciousness (Park, H.-D. Tallon-Baudry, C).pdf",10,170a68e9a86f299d,Park & Tallon-Baudry (2014)
10.1016/j.tics.2019.04.007,10_1016_j_tics_2019_04_007.pdf,The Global Workspace Needs Metacognition.pdf,12,f388de9f0c2d67c1,Shea & Frith (2019)
10.1016/j.tics.2006.09.001,10_1016_j_tics_2006_09_001.pdf,Towards a true neural stance on consciousness (Victor A.F. Lamme).pdf,8,f6ee95b2397048fc,Lamme (2006)
10.1016/j.cognition.2016.01.009,10_1016_j_cognition_2016_01_009.pdf,Visual input signaling threat gains preferential access to awareness in a breaking continuous flash suppression paradigm.pdf,27,3aa1312c5cab041b,Gayet et al. (2016)
